,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,30,88,29,多雲。降雨機率 10%。溫度攝氏30度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,偏東風,28,南庄鄉
1,2023-07-25 21:00:00,04,32,27,88,26,多雲。降雨機率 10%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,東南風,25,南庄鄉
2,2023-07-26 00:00:00,04,30,26,93,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,偏南風,25,南庄鄉
3,2023-07-26 03:00:00,04,29,25,91,24,多雲。降雨機率 20%。溫度攝氏25度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏南風,24,南庄鄉
4,2023-07-26 06:00:00,04,28,25,82,23,多雲。降雨機率 20%。溫度攝氏25度。舒適。偏南風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏南風,21,南庄鄉
5,2023-07-26 09:00:00,07,34,30,67,27,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度67%。,3,偏東風,23,南庄鄉
6,2023-07-26 12:00:00,07,39,34,64,30,陰。降雨機率 20%。溫度攝氏34度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度64%。,3,偏南風,27,南庄鄉
7,2023-07-26 15:00:00,07,39,33,77,31,陰。降雨機率 20%。溫度攝氏33度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,東南風,29,南庄鄉
8,2023-07-26 18:00:00,07,36,31,87,29,陰。降雨機率 20%。溫度攝氏31度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,東南風,28,南庄鄉
9,2023-07-26 21:00:00,07,31,28,83,27,陰。降雨機率 20%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東南風,25,南庄鄉
10,2023-07-27 00:00:00,08,30,27,83,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,東南風,24,南庄鄉
11,2023-07-27 03:00:00,08,30,26,92,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,偏東風,24,南庄鄉
12,2023-07-27 06:00:00,08,29,25,90,25,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東北風,24,南庄鄉
13,2023-07-27 09:00:00,08,34,30,75,28,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度75%。,3,東北風,25,南庄鄉
14,2023-07-27 12:00:00,08,39,33,73,30,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,偏北風,28,南庄鄉
15,2023-07-27 15:00:00,08,39,32,84,31,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏北風,29,南庄鄉
16,2023-07-27 18:00:00,08,35,29,93,29,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,東北風,28,南庄鄉
17,2023-07-27 21:00:00,08,32,27,96,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。西南風 平均風速<= 1級(每秒1公尺)。相對濕度96%。,1,西南風,26,南庄鄉
18,2023-07-28 00:00:00,08,30,25,95,25,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度95%。,1,偏東風,25,南庄鄉
19,2023-07-28 03:00:00,08,29,25,95,24,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。西南風 平均風速<= 1級(每秒0公尺)。相對濕度95%。,0,西南風,24,南庄鄉
20,2023-07-28 06:00:00,08,28,24,91,24,短暫陣雨。降雨機率 50%。溫度攝氏24度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度91%。,3,東北風,23,南庄鄉
21,2023-07-28 09:00:00,08,32,28,83,26,短暫陣雨。降雨機率 50%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,東北風,25,南庄鄉
22,2023-07-28 12:00:00,08,36,30,79,29,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,偏北風,26,南庄鄉
23,2023-07-28 15:00:00,08,35,30,84,28,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。西北風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,西北風,27,南庄鄉
24,2023-07-28 18:00:00,08,33,28,94,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度94%。,1,東南風,27,南庄鄉
25,2023-07-28 21:00:00,04,31,26,96,25,多雲。降雨機率 30%。溫度攝氏26度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度96%。,1,偏南風,25,南庄鄉
26,2023-07-29 00:00:00,07,29,25,97,24,陰。降雨機率 0%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度97%。,1,偏東風,24,南庄鄉
27,2023-07-29 03:00:00,04,28,24,92,24,多雲。降雨機率 0%。溫度攝氏24度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,偏東風,23,南庄鄉
28,2023-07-29 06:00:00,08,27,24,82,23,短暫陣雨。降雨機率 30%。溫度攝氏24度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,東北風,21,南庄鄉
29,2023-07-29 09:00:00,08,34,29,78,27,短暫陣雨。降雨機率 30%。溫度攝氏29度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,東北風,24,南庄鄉
30,2023-07-29 12:00:00,15,39,32,82,30,午後短暫雷陣雨。降雨機率 90%。溫度攝氏32度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,東北風,29,南庄鄉
