,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,30,83,28,多雲。降雨機率 10%。溫度攝氏30度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,東南風,26,大湖鄉
1,2023-07-25 21:00:00,04,30,26,89,25,多雲。降雨機率 10%。溫度攝氏26度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,東南風,24,大湖鄉
2,2023-07-26 00:00:00,04,29,25,88,24,多雲。降雨機率 20%。溫度攝氏25度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,東南風,23,大湖鄉
3,2023-07-26 03:00:00,04,27,24,89,23,多雲。降雨機率 20%。溫度攝氏24度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,偏東風,22,大湖鄉
4,2023-07-26 06:00:00,04,26,24,80,23,多雲。降雨機率 20%。溫度攝氏24度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,偏東風,20,大湖鄉
5,2023-07-26 09:00:00,04,37,32,65,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度65%。,2,西南風,25,大湖鄉
6,2023-07-26 12:00:00,04,42,36,63,31,多雲。降雨機率 20%。溫度攝氏36度。易中暑。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度63%。,1,偏北風,28,大湖鄉
7,2023-07-26 15:00:00,07,42,35,75,32,陰。降雨機率 20%。溫度攝氏35度。易中暑。偏北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏北風,30,大湖鄉
8,2023-07-26 18:00:00,07,37,31,81,29,陰。降雨機率 20%。溫度攝氏31度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,東南風,27,大湖鄉
9,2023-07-26 21:00:00,07,30,27,79,26,陰。降雨機率 20%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,東南風,23,大湖鄉
