,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,32,75,30,晴。降雨機率 10%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏東風,27,後龍鎮
1,2023-07-25 21:00:00,04,35,30,83,28,多雲。降雨機率 10%。溫度攝氏30度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,東南風,26,後龍鎮
2,2023-07-26 00:00:00,01,33,28,87,27,晴。降雨機率 20%。溫度攝氏28度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,西南風,26,後龍鎮
3,2023-07-26 03:00:00,04,32,28,90,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,偏南風,26,後龍鎮
4,2023-07-26 06:00:00,01,31,27,81,26,晴。降雨機率 20%。溫度攝氏27度。舒適。偏北風 平均風速2-3級(每秒5公尺)。相對濕度81%。,5,偏北風,23,後龍鎮
5,2023-07-26 09:00:00,01,36,33,66,29,晴。降雨機率 20%。溫度攝氏33度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度66%。,5,東北風,25,後龍鎮
6,2023-07-26 12:00:00,04,39,35,61,31,多雲。降雨機率 20%。溫度攝氏35度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度61%。,4,偏北風,27,後龍鎮
7,2023-07-26 15:00:00,07,39,35,58,30,陰。降雨機率 20%。溫度攝氏35度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度58%。,4,偏北風,26,後龍鎮
8,2023-07-26 18:00:00,07,37,33,77,30,陰。降雨機率 20%。溫度攝氏33度。悶熱。偏西風 平均風速2-3級(每秒5公尺)。相對濕度77%。,5,偏西風,28,後龍鎮
9,2023-07-26 21:00:00,04,33,30,82,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。西南風 平均風速2-3級(每秒5公尺)。相對濕度82%。,5,西南風,27,後龍鎮
10,2023-07-27 00:00:00,01,33,29,89,28,晴。降雨機率 30%。溫度攝氏29度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度89%。,3,偏東風,27,後龍鎮
11,2023-07-27 03:00:00,08,32,28,91,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度91%。,3,偏東風,26,後龍鎮
12,2023-07-27 06:00:00,04,31,28,85,26,多雲。降雨機率 30%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,偏北風,25,後龍鎮
13,2023-07-27 09:00:00,08,37,32,71,29,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度71%。,5,偏北風,26,後龍鎮
14,2023-07-27 12:00:00,08,39,34,69,31,短暫陣雨。降雨機率 50%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度69%。,2,西北風,28,後龍鎮
15,2023-07-27 15:00:00,08,41,34,76,32,短暫陣雨。降雨機率 50%。溫度攝氏34度。易中暑。西南風 平均風速2-3級(每秒5公尺)。相對濕度76%。,5,西南風,29,後龍鎮
16,2023-07-27 18:00:00,08,36,32,83,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,偏南風,29,後龍鎮
17,2023-07-27 21:00:00,08,35,30,88,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度88%。,3,東南風,27,後龍鎮
18,2023-07-28 00:00:00,08,33,29,90,28,短暫陣雨。降雨機率 50%。溫度攝氏29度。悶熱。西北風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,西北風,27,後龍鎮
19,2023-07-28 03:00:00,08,33,28,91,27,短暫陣雨。降雨機率 50%。溫度攝氏28度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏南風,26,後龍鎮
20,2023-07-28 06:00:00,08,32,27,87,26,短暫陣雨。降雨機率 50%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,偏東風,25,後龍鎮
21,2023-07-28 09:00:00,08,34,30,77,28,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,東北風,26,後龍鎮
22,2023-07-28 12:00:00,08,36,32,75,29,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度75%。,3,偏北風,27,後龍鎮
23,2023-07-28 15:00:00,08,37,32,80,30,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏北風,28,後龍鎮
24,2023-07-28 18:00:00,08,35,30,84,28,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,東北風,27,後龍鎮
