,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,29,89,28,多雲。降雨機率 10%。溫度攝氏29度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,偏東風,27,泰安鄉
1,2023-07-25 21:00:00,04,31,26,92,26,多雲。降雨機率 10%。溫度攝氏26度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,東南風,25,泰安鄉
2,2023-07-26 00:00:00,04,30,26,90,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東南風,24,泰安鄉
3,2023-07-26 03:00:00,04,28,25,91,24,多雲。降雨機率 20%。溫度攝氏25度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,偏東風,23,泰安鄉
4,2023-07-26 06:00:00,04,27,24,82,23,多雲。降雨機率 20%。溫度攝氏24度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,東南風,21,泰安鄉
5,2023-07-26 09:00:00,04,35,31,67,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏南風,24,泰安鄉
6,2023-07-26 12:00:00,04,40,34,68,31,多雲。降雨機率 20%。溫度攝氏34度。悶熱。西北風 平均風速<= 1級(每秒1公尺)。相對濕度68%。,1,西北風,28,泰安鄉
7,2023-07-26 15:00:00,07,40,33,81,31,陰。降雨機率 20%。溫度攝氏33度。易中暑。偏南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏南風,30,泰安鄉
8,2023-07-26 18:00:00,07,36,30,85,29,陰。降雨機率 20%。溫度攝氏30度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,東南風,27,泰安鄉
9,2023-07-26 21:00:00,07,31,28,78,26,陰。降雨機率 20%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,東南風,23,泰安鄉
10,2023-07-27 00:00:00,08,30,27,83,26,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,偏東風,24,泰安鄉
11,2023-07-27 03:00:00,08,30,26,90,25,短暫陣雨。降雨機率 40%。溫度攝氏26度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,偏南風,24,泰安鄉
12,2023-07-27 06:00:00,08,29,26,87,25,短暫陣雨。降雨機率 60%。溫度攝氏26度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,23,泰安鄉
13,2023-07-27 09:00:00,08,35,30,71,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,偏北風,24,泰安鄉
14,2023-07-27 12:00:00,08,39,33,76,30,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,偏北風,28,泰安鄉
15,2023-07-27 15:00:00,08,38,32,87,31,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,1,西南風,30,泰安鄉
16,2023-07-27 18:00:00,08,35,29,92,28,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,東南風,27,泰安鄉
17,2023-07-27 21:00:00,08,31,26,94,26,短暫陣雨。降雨機率 70%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度94%。,2,偏東風,25,泰安鄉
18,2023-07-28 00:00:00,08,29,25,93,25,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏東風,24,泰安鄉
19,2023-07-28 03:00:00,08,29,25,93,24,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,東北風,23,泰安鄉
20,2023-07-28 06:00:00,08,28,24,85,23,短暫陣雨。降雨機率 50%。溫度攝氏24度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,22,泰安鄉
21,2023-07-28 09:00:00,08,32,28,82,26,短暫陣雨。降雨機率 50%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,東北風,25,泰安鄉
22,2023-07-28 12:00:00,08,35,30,85,28,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,27,泰安鄉
23,2023-07-28 15:00:00,08,34,29,85,28,短暫陣雨。降雨機率 40%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,偏北風,26,泰安鄉
