,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,31,85,29,晴。降雨機率 10%。溫度攝氏31度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,偏東風,28,獅潭鄉
1,2023-07-25 21:00:00,04,32,27,91,27,多雲。降雨機率 10%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東南風,26,獅潭鄉
2,2023-07-26 00:00:00,01,30,26,90,25,晴。降雨機率 20%。溫度攝氏26度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,東南風,24,獅潭鄉
3,2023-07-26 03:00:00,04,29,25,92,25,多雲。降雨機率 20%。溫度攝氏25度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,東南風,24,獅潭鄉
4,2023-07-26 06:00:00,04,28,25,81,23,多雲。降雨機率 20%。溫度攝氏25度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏南風,21,獅潭鄉
5,2023-07-26 09:00:00,04,36,32,62,28,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度62%。,2,偏西風,24,獅潭鄉
6,2023-07-26 12:00:00,04,41,36,57,31,多雲。降雨機率 20%。溫度攝氏36度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度57%。,2,偏西風,26,獅潭鄉
7,2023-07-26 15:00:00,07,41,35,66,31,陰。降雨機率 20%。溫度攝氏35度。易中暑。西南風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,西南風,28,獅潭鄉
8,2023-07-26 18:00:00,07,38,32,86,30,陰。降雨機率 20%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度86%。,3,東南風,29,獅潭鄉
9,2023-07-26 21:00:00,07,32,28,85,27,陰。降雨機率 20%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東南風,25,獅潭鄉
10,2023-07-27 00:00:00,08,31,27,85,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,東北風,24,獅潭鄉
11,2023-07-27 03:00:00,08,31,26,90,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,東北風,24,獅潭鄉
12,2023-07-27 06:00:00,08,30,26,86,25,短暫陣雨。降雨機率 40%。溫度攝氏26度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,23,獅潭鄉
13,2023-07-27 09:00:00,08,36,32,67,28,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏北風,25,獅潭鄉
14,2023-07-27 12:00:00,08,41,35,70,32,短暫陣雨。降雨機率 60%。溫度攝氏35度。易中暑。西北風 平均風速1-2級(每秒2公尺)。相對濕度70%。,2,西北風,29,獅潭鄉
15,2023-07-27 15:00:00,08,41,34,82,32,短暫陣雨。降雨機率 60%。溫度攝氏34度。易中暑。偏西風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,偏西風,31,獅潭鄉
16,2023-07-27 18:00:00,08,37,31,91,30,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,東南風,29,獅潭鄉
