,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,32,72,29,晴。降雨機率 10%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度72%。,3,偏東風,26,竹南鎮
1,2023-07-25 21:00:00,04,33,29,74,27,多雲。降雨機率 10%。溫度攝氏29度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度74%。,3,偏東風,24,竹南鎮
2,2023-07-26 00:00:00,01,32,28,81,27,晴。降雨機率 20%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,東南風,25,竹南鎮
3,2023-07-26 03:00:00,04,32,28,88,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,偏南風,25,竹南鎮
4,2023-07-26 06:00:00,01,31,27,81,26,晴。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速2-3級(每秒5公尺)。相對濕度81%。,5,東北風,24,竹南鎮
5,2023-07-26 09:00:00,01,35,33,65,29,晴。降雨機率 20%。溫度攝氏33度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度65%。,5,東北風,25,竹南鎮
6,2023-07-26 12:00:00,07,37,35,58,30,陰。降雨機率 20%。溫度攝氏35度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度58%。,4,東北風,25,竹南鎮
7,2023-07-26 15:00:00,04,38,34,57,30,多雲。降雨機率 20%。溫度攝氏34度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度57%。,4,東北風,25,竹南鎮
8,2023-07-26 18:00:00,07,36,32,67,29,陰。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度67%。,5,偏東風,25,竹南鎮
9,2023-07-26 21:00:00,04,32,30,70,27,多雲。降雨機率 20%。溫度攝氏30度。悶熱。東南風 平均風速2-3級(每秒5公尺)。相對濕度70%。,5,東南風,24,竹南鎮
10,2023-07-27 00:00:00,04,32,29,80,27,多雲。降雨機率 30%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,東北風,25,竹南鎮
11,2023-07-27 03:00:00,08,32,28,90,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,偏東風,26,竹南鎮
12,2023-07-27 06:00:00,04,31,28,84,26,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,偏北風,25,竹南鎮
13,2023-07-27 09:00:00,04,37,32,71,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度71%。,5,偏北風,26,竹南鎮
14,2023-07-27 12:00:00,08,38,34,70,30,短暫陣雨。降雨機率 60%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度70%。,2,西北風,28,竹南鎮
15,2023-07-27 15:00:00,08,40,33,76,31,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西南風 平均風速2-3級(每秒5公尺)。相對濕度76%。,5,西南風,29,竹南鎮
16,2023-07-27 18:00:00,08,36,32,82,30,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,西南風,28,竹南鎮
17,2023-07-27 21:00:00,08,35,29,88,28,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,偏南風,27,竹南鎮
18,2023-07-28 00:00:00,08,33,28,89,27,短暫陣雨。降雨機率 50%。溫度攝氏28度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,偏北風,26,竹南鎮
19,2023-07-28 03:00:00,08,32,27,89,27,短暫陣雨。降雨機率 50%。溫度攝氏27度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,西南風,25,竹南鎮
20,2023-07-28 06:00:00,08,31,27,86,26,短暫陣雨。降雨機率 50%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏東風,24,竹南鎮
21,2023-07-28 09:00:00,08,34,30,79,28,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度79%。,3,東北風,26,竹南鎮
22,2023-07-28 12:00:00,08,36,31,79,29,短暫陣雨。降雨機率 50%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度79%。,3,偏北風,27,竹南鎮
23,2023-07-28 15:00:00,08,36,31,82,29,短暫陣雨。降雨機率 50%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏北風,27,竹南鎮
24,2023-07-28 18:00:00,08,34,29,84,28,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,東北風,27,竹南鎮
25,2023-07-28 21:00:00,04,33,28,86,27,多雲。降雨機率 30%。溫度攝氏28度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,西南風,26,竹南鎮
26,2023-07-29 00:00:00,04,32,27,89,27,多雲。降雨機率 0%。溫度攝氏27度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,偏東風,25,竹南鎮
27,2023-07-29 03:00:00,04,31,27,87,26,多雲。降雨機率 0%。溫度攝氏27度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,1,東北風,24,竹南鎮
28,2023-07-29 06:00:00,04,30,27,78,25,多雲。降雨機率 30%。溫度攝氏27度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,東北風,22,竹南鎮
29,2023-07-29 09:00:00,08,35,31,71,28,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,偏北風,25,竹南鎮
30,2023-07-29 12:00:00,15,37,32,71,29,午後短暫雷陣雨。降雨機率 90%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,偏北風,26,竹南鎮
31,2023-07-29 15:00:00,15,37,32,75,29,午後短暫雷陣雨。降雨機率 90%。溫度攝氏32度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,東北風,27,竹南鎮
