,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,35,30,78,28,晴。降雨機率 10%。溫度攝氏30度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,東南風,26,苑裡鎮
1,2023-07-25 21:00:00,04,33,29,82,27,多雲。降雨機率 10%。溫度攝氏29度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,偏東風,25,苑裡鎮
2,2023-07-26 00:00:00,01,33,28,84,27,晴。降雨機率 20%。溫度攝氏28度。舒適。偏南風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,偏南風,25,苑裡鎮
3,2023-07-26 03:00:00,04,31,28,84,26,多雲。降雨機率 20%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,東南風,25,苑裡鎮
4,2023-07-26 06:00:00,01,31,27,77,26,晴。降雨機率 20%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,偏東風,23,苑裡鎮
5,2023-07-26 09:00:00,04,36,32,61,28,多雲。降雨機率 20%。溫度攝氏32度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度61%。,4,西南風,24,苑裡鎮
6,2023-07-26 12:00:00,04,38,34,68,30,多雲。降雨機率 20%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,西北風,27,苑裡鎮
7,2023-07-26 15:00:00,07,40,34,74,31,陰。降雨機率 20%。溫度攝氏34度。易中暑。偏西風 平均風速2-3級(每秒4公尺)。相對濕度74%。,4,偏西風,29,苑裡鎮
8,2023-07-26 18:00:00,04,36,31,79,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒5公尺)。相對濕度79%。,5,西南風,27,苑裡鎮
9,2023-07-26 21:00:00,07,32,29,81,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度81%。,4,偏南風,26,苑裡鎮
10,2023-07-27 00:00:00,01,32,29,83,27,晴。降雨機率 30%。溫度攝氏29度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度83%。,4,偏南風,26,苑裡鎮
11,2023-07-27 03:00:00,08,32,28,89,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度89%。,4,東北風,26,苑裡鎮
12,2023-07-27 06:00:00,08,31,28,83,27,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東北風,25,苑裡鎮
13,2023-07-27 09:00:00,08,35,31,71,29,短暫陣雨。降雨機率 40%。溫度攝氏31度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度71%。,5,偏北風,26,苑裡鎮
