,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,32,73,29,晴。降雨機率 10%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,偏東風,27,苗栗市
1,2023-07-25 21:00:00,04,35,30,83,28,多雲。降雨機率 10%。溫度攝氏30度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,東南風,26,苗栗市
2,2023-07-26 00:00:00,01,34,28,86,27,晴。降雨機率 20%。溫度攝氏28度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏南風,26,苗栗市
3,2023-07-26 03:00:00,04,32,27,88,27,多雲。降雨機率 20%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,偏南風,25,苗栗市
4,2023-07-26 06:00:00,01,31,27,79,25,晴。降雨機率 20%。溫度攝氏27度。舒適。西北風 平均風速1-2級(每秒3公尺)。相對濕度79%。,3,西北風,23,苗栗市
5,2023-07-26 09:00:00,04,36,33,63,29,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度63%。,3,偏北風,25,苗栗市
6,2023-07-26 12:00:00,04,40,36,57,31,多雲。降雨機率 20%。溫度攝氏36度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度57%。,3,西北風,26,苗栗市
7,2023-07-26 15:00:00,07,40,36,57,31,陰。降雨機率 20%。溫度攝氏36度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度57%。,3,西北風,26,苗栗市
8,2023-07-26 18:00:00,07,39,33,77,31,陰。降雨機率 20%。溫度攝氏33度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度77%。,4,西南風,28,苗栗市
9,2023-07-26 21:00:00,04,34,30,80,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,西南風,26,苗栗市
10,2023-07-27 00:00:00,04,33,29,85,28,多雲。降雨機率 30%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,東北風,26,苗栗市
11,2023-07-27 03:00:00,08,33,28,89,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,偏東風,26,苗栗市
12,2023-07-27 06:00:00,08,32,27,85,26,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,25,苗栗市
13,2023-07-27 09:00:00,08,37,32,68,29,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,偏北風,26,苗栗市
14,2023-07-27 12:00:00,08,40,35,64,31,短暫陣雨。降雨機率 60%。溫度攝氏35度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度64%。,2,西北風,27,苗栗市
15,2023-07-27 15:00:00,08,41,35,71,31,短暫陣雨。降雨機率 60%。溫度攝氏35度。易中暑。西南風 平均風速2-3級(每秒4公尺)。相對濕度71%。,4,西南風,29,苗栗市
16,2023-07-27 18:00:00,08,37,32,81,30,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏南風,28,苗栗市
17,2023-07-27 21:00:00,08,35,29,88,28,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度88%。,3,東南風,27,苗栗市
