,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,36,32,74,29,晴。降雨機率 10%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,東南風,27,西湖鄉
1,2023-07-25 21:00:00,04,34,29,84,27,多雲。降雨機率 10%。溫度攝氏29度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,東南風,26,西湖鄉
2,2023-07-26 00:00:00,01,33,28,88,27,晴。降雨機率 20%。溫度攝氏28度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,偏南風,25,西湖鄉
3,2023-07-26 03:00:00,04,31,26,89,26,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,偏南風,25,西湖鄉
4,2023-07-26 06:00:00,01,30,26,79,25,晴。降雨機率 20%。溫度攝氏26度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,東北風,22,西湖鄉
5,2023-07-26 09:00:00,01,36,33,63,29,晴。降雨機率 20%。溫度攝氏33度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度63%。,4,東北風,25,西湖鄉
6,2023-07-26 12:00:00,04,41,36,60,31,多雲。降雨機率 20%。溫度攝氏36度。易中暑。偏北風 平均風速1-2級(每秒3公尺)。相對濕度60%。,3,偏北風,27,西湖鄉
7,2023-07-26 15:00:00,07,41,36,61,31,陰。降雨機率 20%。溫度攝氏36度。易中暑。西北風 平均風速2-3級(每秒4公尺)。相對濕度61%。,4,西北風,27,西湖鄉
8,2023-07-26 18:00:00,07,38,33,78,30,陰。降雨機率 20%。溫度攝氏33度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,西南風,28,西湖鄉
9,2023-07-26 21:00:00,04,33,30,82,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度82%。,4,西南風,26,西湖鄉
10,2023-07-27 00:00:00,01,32,28,88,27,晴。降雨機率 30%。溫度攝氏28度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度88%。,3,東南風,26,西湖鄉
11,2023-07-27 03:00:00,08,31,27,91,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度91%。,3,偏東風,26,西湖鄉
12,2023-07-27 06:00:00,04,30,27,85,26,多雲。降雨機率 40%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,偏北風,24,西湖鄉
