,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,35,30,75,28,晴。降雨機率 10%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏南風,26,通霄鎮
1,2023-07-25 21:00:00,04,33,28,82,27,多雲。降雨機率 10%。溫度攝氏28度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,東南風,25,通霄鎮
2,2023-07-26 00:00:00,01,33,28,85,27,晴。降雨機率 20%。溫度攝氏28度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏南風,25,通霄鎮
3,2023-07-26 03:00:00,04,31,27,86,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,東南風,25,通霄鎮
4,2023-07-26 06:00:00,01,30,27,76,25,晴。降雨機率 20%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,東南風,22,通霄鎮
5,2023-07-26 09:00:00,01,35,32,58,28,晴。降雨機率 20%。溫度攝氏32度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度58%。,4,西南風,23,通霄鎮
6,2023-07-26 12:00:00,04,39,34,68,31,多雲。降雨機率 20%。溫度攝氏34度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,偏西風,28,通霄鎮
7,2023-07-26 15:00:00,07,39,34,71,31,陰。降雨機率 20%。溫度攝氏34度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度71%。,4,西南風,28,通霄鎮
8,2023-07-26 18:00:00,04,35,31,76,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒5公尺)。相對濕度76%。,5,西南風,27,通霄鎮
9,2023-07-26 21:00:00,07,32,29,80,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度80%。,4,偏南風,25,通霄鎮
10,2023-07-27 00:00:00,01,32,28,84,27,晴。降雨機率 30%。溫度攝氏28度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度84%。,4,西南風,25,通霄鎮
11,2023-07-27 03:00:00,08,31,28,89,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度89%。,3,東北風,26,通霄鎮
12,2023-07-27 06:00:00,04,31,28,83,26,多雲。降雨機率 40%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東北風,24,通霄鎮
13,2023-07-27 09:00:00,08,35,32,69,29,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度69%。,5,偏北風,25,通霄鎮
14,2023-07-27 12:00:00,07,37,33,69,30,陰。降雨機率 60%。溫度攝氏33度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度69%。,4,偏西風,27,通霄鎮
15,2023-07-27 15:00:00,08,38,33,72,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西南風 平均風速2-3級(每秒5公尺)。相對濕度72%。,5,西南風,27,通霄鎮
16,2023-07-27 18:00:00,08,33,31,77,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,偏南風,26,通霄鎮
