,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,38,32,73,30,晴。降雨機率 10%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,偏東風,27,造橋鄉
1,2023-07-25 21:00:00,04,34,29,79,28,多雲。降雨機率 10%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,東南風,26,造橋鄉
2,2023-07-26 00:00:00,01,33,28,86,27,晴。降雨機率 20%。溫度攝氏28度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏南風,26,造橋鄉
3,2023-07-26 03:00:00,04,32,27,91,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏南風,25,造橋鄉
4,2023-07-26 06:00:00,01,30,26,82,25,晴。降雨機率 20%。溫度攝氏26度。舒適。偏北風 平均風速2-3級(每秒4公尺)。相對濕度82%。,4,偏北風,23,造橋鄉
5,2023-07-26 09:00:00,04,36,33,64,29,多雲。降雨機率 20%。溫度攝氏33度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度64%。,4,東北風,25,造橋鄉
6,2023-07-26 12:00:00,04,40,36,55,31,多雲。降雨機率 20%。溫度攝氏36度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度55%。,4,偏北風,26,造橋鄉
7,2023-07-26 15:00:00,07,40,36,54,30,陰。降雨機率 20%。溫度攝氏36度。悶熱。西北風 平均風速2-3級(每秒4公尺)。相對濕度54%。,4,西北風,25,造橋鄉
8,2023-07-26 18:00:00,07,38,33,75,31,陰。降雨機率 20%。溫度攝氏33度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度75%。,5,偏南風,28,造橋鄉
9,2023-07-26 21:00:00,04,33,30,78,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,偏南風,26,造橋鄉
10,2023-07-27 00:00:00,04,33,29,84,28,多雲。降雨機率 30%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東北風,26,造橋鄉
11,2023-07-27 03:00:00,08,32,28,92,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,偏東風,26,造橋鄉
12,2023-07-27 06:00:00,08,31,27,85,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,偏北風,24,造橋鄉
13,2023-07-27 09:00:00,08,37,33,68,29,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度68%。,4,偏北風,26,造橋鄉
14,2023-07-27 12:00:00,08,40,35,66,31,短暫陣雨。降雨機率 60%。溫度攝氏35度。易中暑。西北風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,西北風,28,造橋鄉
15,2023-07-27 15:00:00,08,42,35,73,32,短暫陣雨。降雨機率 60%。溫度攝氏35度。易中暑。西南風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,西南風,29,造橋鄉
16,2023-07-27 18:00:00,08,37,32,82,30,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,偏南風,29,造橋鄉
17,2023-07-27 21:00:00,08,35,29,91,29,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,偏南風,28,造橋鄉
18,2023-07-28 00:00:00,08,33,28,93,28,短暫陣雨。降雨機率 50%。溫度攝氏28度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏北風,27,造橋鄉
19,2023-07-28 03:00:00,08,32,27,92,26,短暫陣雨。降雨機率 50%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,偏南風,26,造橋鄉
