,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,36,31,76,29,晴。降雨機率 10%。溫度攝氏31度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度76%。,1,東南風,26,銅鑼鄉
1,2023-07-25 21:00:00,04,33,28,86,27,多雲。降雨機率 10%。溫度攝氏28度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏南風,26,銅鑼鄉
2,2023-07-26 00:00:00,01,32,27,86,26,晴。降雨機率 20%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏南風,25,銅鑼鄉
3,2023-07-26 03:00:00,04,31,26,86,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏東風,24,銅鑼鄉
4,2023-07-26 06:00:00,01,30,26,78,25,晴。降雨機率 20%。溫度攝氏26度。舒適。偏西風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,偏西風,22,銅鑼鄉
5,2023-07-26 09:00:00,04,37,33,61,29,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度61%。,2,偏西風,24,銅鑼鄉
6,2023-07-26 12:00:00,04,41,35,62,31,多雲。降雨機率 20%。溫度攝氏35度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度62%。,2,偏西風,27,銅鑼鄉
7,2023-07-26 15:00:00,07,41,35,67,31,陰。降雨機率 20%。溫度攝氏35度。易中暑。偏西風 平均風速1-2級(每秒3公尺)。相對濕度67%。,3,偏西風,28,銅鑼鄉
8,2023-07-26 18:00:00,07,37,32,76,30,陰。降雨機率 20%。溫度攝氏32度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,偏南風,27,銅鑼鄉
9,2023-07-26 21:00:00,07,32,29,80,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,偏南風,25,銅鑼鄉
10,2023-07-27 00:00:00,04,32,28,84,27,多雲。降雨機率 30%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏北風,25,銅鑼鄉
11,2023-07-27 03:00:00,08,31,27,90,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東北風,25,銅鑼鄉
12,2023-07-27 06:00:00,08,31,27,86,26,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,24,銅鑼鄉
13,2023-07-27 09:00:00,08,37,32,70,29,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度70%。,3,偏北風,26,銅鑼鄉
14,2023-07-27 12:00:00,08,39,34,67,30,短暫陣雨。降雨機率 60%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度67%。,3,西北風,27,銅鑼鄉
15,2023-07-27 15:00:00,08,39,34,72,31,短暫陣雨。降雨機率 60%。溫度攝氏34度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度72%。,4,西南風,28,銅鑼鄉
16,2023-07-27 18:00:00,08,35,31,81,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏南風,27,銅鑼鄉
17,2023-07-27 21:00:00,08,33,28,90,27,短暫陣雨。降雨機率 70%。溫度攝氏28度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,東南風,27,銅鑼鄉
18,2023-07-28 00:00:00,08,32,27,93,27,短暫陣雨。降雨機率 60%。溫度攝氏27度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏北風,26,銅鑼鄉
19,2023-07-28 03:00:00,08,31,27,93,26,短暫陣雨。降雨機率 60%。溫度攝氏27度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏北風,25,銅鑼鄉
20,2023-07-28 06:00:00,08,31,26,89,26,短暫陣雨。降雨機率 60%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,24,銅鑼鄉
21,2023-07-28 09:00:00,08,35,30,80,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,東北風,26,銅鑼鄉
22,2023-07-28 12:00:00,08,36,31,74,29,短暫陣雨。降雨機率 50%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,偏北風,26,銅鑼鄉
23,2023-07-28 15:00:00,08,36,31,72,28,短暫陣雨。降雨機率 50%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度72%。,2,偏北風,25,銅鑼鄉
24,2023-07-28 18:00:00,08,34,29,81,27,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度81%。,1,偏北風,25,銅鑼鄉
25,2023-07-28 21:00:00,04,32,27,90,26,多雲。降雨機率 30%。溫度攝氏27度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,東南風,25,銅鑼鄉
26,2023-07-29 00:00:00,04,31,26,91,26,多雲。降雨機率 0%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏東風,25,銅鑼鄉
27,2023-07-29 03:00:00,04,30,26,87,25,多雲。降雨機率 0%。溫度攝氏26度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,24,銅鑼鄉
28,2023-07-29 06:00:00,08,29,26,78,24,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,偏北風,22,銅鑼鄉
29,2023-07-29 09:00:00,08,36,31,71,28,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度71%。,1,偏北風,25,銅鑼鄉
30,2023-07-29 12:00:00,15,38,33,68,29,午後短暫雷陣雨。降雨機率 80%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,西北風,26,銅鑼鄉
31,2023-07-29 15:00:00,15,38,32,72,29,午後短暫雷陣雨。降雨機率 80%。溫度攝氏32度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度72%。,1,偏北風,27,銅鑼鄉
