,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,39,34,67,30,晴。降雨機率 10%。溫度攝氏34度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏東風,27,頭份市
1,2023-07-25 21:00:00,04,35,31,71,28,多雲。降雨機率 10%。溫度攝氏31度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,東南風,25,頭份市
2,2023-07-26 00:00:00,04,34,29,80,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,東南風,25,頭份市
3,2023-07-26 03:00:00,04,33,28,86,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏南風,25,頭份市
4,2023-07-26 06:00:00,01,31,27,79,26,晴。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,東北風,23,頭份市
5,2023-07-26 09:00:00,04,38,34,62,30,多雲。降雨機率 20%。溫度攝氏34度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度62%。,4,東北風,26,頭份市
6,2023-07-26 12:00:00,07,41,37,52,31,陰。降雨機率 20%。溫度攝氏37度。易中暑。東北風 平均風速2-3級(每秒4公尺)。相對濕度52%。,4,東北風,26,頭份市
7,2023-07-26 15:00:00,04,41,37,54,31,多雲。降雨機率 20%。溫度攝氏37度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度54%。,3,東北風,26,頭份市
8,2023-07-26 18:00:00,07,39,34,68,31,陰。降雨機率 20%。溫度攝氏34度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度68%。,4,偏東風,27,頭份市
9,2023-07-26 21:00:00,07,34,31,68,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度68%。,4,偏東風,24,頭份市
10,2023-07-27 00:00:00,04,33,30,78,28,多雲。降雨機率 30%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,偏北風,25,頭份市
11,2023-07-27 03:00:00,08,33,28,89,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,偏東風,26,頭份市
12,2023-07-27 06:00:00,04,32,28,83,26,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,偏北風,25,頭份市
13,2023-07-27 09:00:00,04,39,34,68,30,多雲。降雨機率 20%。溫度攝氏34度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度68%。,4,偏北風,27,頭份市
