,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,32,73,29,晴。降雨機率 10%。溫度攝氏32度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,1,偏東風,26,頭屋鄉
1,2023-07-25 21:00:00,04,33,28,83,27,多雲。降雨機率 10%。溫度攝氏28度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,東南風,25,頭屋鄉
2,2023-07-26 00:00:00,01,31,27,88,26,晴。降雨機率 20%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,偏南風,25,頭屋鄉
3,2023-07-26 03:00:00,04,30,26,90,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,偏南風,24,頭屋鄉
4,2023-07-26 06:00:00,01,28,25,80,24,晴。降雨機率 20%。溫度攝氏25度。舒適。偏西風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,偏西風,21,頭屋鄉
5,2023-07-26 09:00:00,04,35,32,62,28,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度62%。,3,偏北風,24,頭屋鄉
6,2023-07-26 12:00:00,04,40,36,53,30,多雲。降雨機率 20%。溫度攝氏36度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度53%。,3,西北風,25,頭屋鄉
7,2023-07-26 15:00:00,07,40,36,52,30,陰。降雨機率 20%。溫度攝氏36度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度52%。,3,偏西風,24,頭屋鄉
8,2023-07-26 18:00:00,07,38,33,78,30,陰。降雨機率 20%。溫度攝氏33度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,西南風,28,頭屋鄉
9,2023-07-26 21:00:00,04,32,29,81,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,西南風,25,頭屋鄉
10,2023-07-27 00:00:00,04,31,28,84,26,多雲。降雨機率 30%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,東北風,25,頭屋鄉
11,2023-07-27 03:00:00,08,31,27,91,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,偏東風,25,頭屋鄉
