,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,83,24,2,37,04,29,26,9,多雲。降雨機率 20%。溫度攝氏26至31度。舒適至悶熱。東南風 風速<= 1級(每秒2公尺)。相對濕度83%。,29,31,東南風,24,三灣鄉
1,2023-07-26 06:00:00,32,67,24,4,39,06,30,26,0,陰時多雲。降雨機率 20%。溫度攝氏26至35度。舒適至悶熱。偏東風 風速3級(每秒4公尺)。相對濕度67%。,29,35,偏東風,25,三灣鄉
2,2023-07-26 18:00:00,28,83,25,4,37,09,30,26,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏26至32度。舒適至悶熱。東南風 風速3級(每秒4公尺)。相對濕度83%。,30,32,東南風,25,三灣鄉
3,2023-07-27 06:00:00,32,75,25,3,40,09,31,26,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏26至34度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度75%。,30,34,偏北風,27,三灣鄉
4,2023-07-27 18:00:00,27,92,25,1,36,10,29,25,7,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏25至31度。舒適至悶熱。西南風 風速<= 1級(每秒1公尺)。相對濕度92%。,29,31,西南風,26,三灣鄉
5,2023-07-28 06:00:00,29,83,25,2,36,08,29,25,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏25至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度83%。,29,31,偏北風,26,三灣鄉
6,2023-07-28 18:00:00,26,90,23,2,34,08,28,25,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏25至29度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度90%。,28,29,偏東風,24,三灣鄉
7,2023-07-29 06:00:00,30,77,23,1,39,22,30,25,0,多雲午後短暫雷陣雨。溫度攝氏25至33度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度77%。,28,33,東北風,26,三灣鄉
8,2023-07-29 18:00:00,26,92,24,1,36,08,29,25,8,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,29,30,偏東風,25,三灣鄉
9,2023-07-30 06:00:00,30,88,24,1,40,22,31,25,0,多雲午後短暫雷陣雨。溫度攝氏25至33度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,29,33,東北風,28,三灣鄉
10,2023-07-30 18:00:00,27,93,24,1,36,08,29,25,9,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度93%。,29,30,偏東風,25,三灣鄉
11,2023-07-31 06:00:00,30,80,24,1,39,22,30,25,0,多雲午後短暫雷陣雨。溫度攝氏25至33度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度80%。,29,33,偏北風,26,三灣鄉
12,2023-07-31 18:00:00,26,92,24,1,35,05,28,24,8,多雲時陰。溫度攝氏24至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,28,30,偏東風,25,三灣鄉
13,2023-08-01 06:00:00,30,79,24,1,39,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至33度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度79%。,28,33,偏北風,26,三灣鄉
14,2023-08-01 18:00:00,26,88,23,4,34,04,27,24,,多雲。溫度攝氏24至29度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度88%。,26,29,西南風,24,三灣鄉
