,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,81,24,2,33,04,27,25,10,多雲。降雨機率 20%。溫度攝氏25至29度。舒適至悶熱。東南風 風速<= 1級(每秒2公尺)。相對濕度81%。,28,29,東南風,23,三義鄉
1,2023-07-26 06:00:00,31,72,24,2,39,04,30,25,0,多雲。降雨機率 20%。溫度攝氏25至33度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度72%。,29,33,西北風,26,三義鄉
2,2023-07-26 18:00:00,27,86,25,3,35,09,28,25,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏25至30度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度86%。,29,30,偏南風,24,三義鄉
3,2023-07-27 06:00:00,30,76,25,4,37,08,29,26,0,多雲短暫陣雨。降雨機率 70%。溫度攝氏26至32度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度76%。,29,32,東北風,25,三義鄉
4,2023-07-27 18:00:00,26,90,24,3,33,11,28,25,8,陰短暫陣雨。降雨機率 70%。溫度攝氏25至29度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度90%。,29,29,偏南風,24,三義鄉
5,2023-07-28 06:00:00,28,80,24,2,33,09,27,25,0,多雲時陰短暫陣雨。降雨機率 50%。溫度攝氏25至29度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度80%。,30,29,東北風,24,三義鄉
6,2023-07-28 18:00:00,25,85,23,1,31,08,26,24,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至27度。舒適。東南風 風速<= 1級(每秒1公尺)。相對濕度85%。,28,27,東南風,22,三義鄉
7,2023-07-29 06:00:00,28,77,23,1,35,22,28,24,0,多雲午後短暫雷陣雨。溫度攝氏24至30度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度77%。,28,30,偏北風,24,三義鄉
8,2023-07-29 18:00:00,25,91,23,1,33,08,27,24,9,多雲短暫陣雨。溫度攝氏24至28度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,28,28,東北風,24,三義鄉
9,2023-07-30 06:00:00,28,87,23,2,36,22,29,24,0,多雲午後短暫雷陣雨。溫度攝氏24至30度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度87%。,28,30,偏北風,26,三義鄉
10,2023-07-30 18:00:00,25,89,23,1,32,10,27,24,10,陰時多雲短暫陣雨。溫度攝氏24至28度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度89%。,27,28,偏北風,23,三義鄉
11,2023-07-31 06:00:00,28,80,23,2,35,22,28,24,0,多雲午後短暫雷陣雨。溫度攝氏24至30度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度80%。,27,30,偏北風,25,三義鄉
12,2023-07-31 18:00:00,25,90,23,1,32,04,27,24,9,多雲。溫度攝氏24至28度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度90%。,28,28,東北風,23,三義鄉
13,2023-08-01 06:00:00,28,78,23,2,35,22,28,24,0,多雲午後短暫雷陣雨。溫度攝氏24至30度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度78%。,28,30,西北風,24,三義鄉
14,2023-08-01 18:00:00,25,88,23,2,31,04,26,24,,多雲。溫度攝氏24至27度。舒適。偏南風 風速2級(每秒2公尺)。相對濕度88%。,26,27,偏南風,23,三義鄉
