,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,27,85,24,1,37,03,29,26,9,多雲時晴。降雨機率 20%。溫度攝氏26至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度85%。,29,31,東南風,25,公館鄉
1,2023-07-26 06:00:00,33,67,24,2,42,04,32,26,0,多雲。降雨機率 20%。溫度攝氏26至36度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度67%。,30,36,偏西風,26,公館鄉
2,2023-07-26 18:00:00,28,83,26,3,38,09,30,26,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏26至32度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度83%。,31,32,偏南風,25,公館鄉
3,2023-07-27 06:00:00,33,75,26,3,41,09,32,27,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏27至35度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度75%。,31,35,偏北風,28,公館鄉
4,2023-07-27 18:00:00,27,91,25,3,37,11,30,26,8,陰短暫陣雨。降雨機率 70%。溫度攝氏26至31度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度91%。,30,31,偏北風,26,公館鄉
5,2023-07-28 06:00:00,30,79,25,3,37,10,30,26,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏26至32度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度79%。,31,32,東北風,26,公館鄉
6,2023-07-28 18:00:00,26,89,24,1,34,08,28,25,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏25至29度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度89%。,29,29,東北風,24,公館鄉
7,2023-07-29 06:00:00,31,76,24,2,40,22,31,25,0,多雲午後短暫雷陣雨。溫度攝氏25至34度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度76%。,29,34,偏北風,27,公館鄉
8,2023-07-29 18:00:00,27,92,24,1,36,08,29,25,8,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度92%。,29,30,東北風,25,公館鄉
9,2023-07-30 06:00:00,31,88,24,2,41,22,32,25,0,多雲午後短暫雷陣雨。溫度攝氏25至33度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度88%。,30,33,偏北風,29,公館鄉
10,2023-07-30 18:00:00,27,92,24,1,36,08,29,25,9,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度92%。,29,30,東北風,25,公館鄉
11,2023-07-31 06:00:00,31,78,24,2,40,22,31,25,0,多雲午後短暫雷陣雨。溫度攝氏25至34度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度78%。,29,34,偏北風,27,公館鄉
12,2023-07-31 18:00:00,26,91,24,1,36,05,29,25,8,多雲時陰。溫度攝氏25至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度91%。,28,30,偏東風,25,公館鄉
13,2023-08-01 06:00:00,31,76,24,2,40,22,31,25,0,多雲午後短暫雷陣雨。溫度攝氏25至34度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度76%。,29,34,偏北風,26,公館鄉
14,2023-08-01 18:00:00,26,89,24,2,34,04,28,25,,多雲。溫度攝氏25至29度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度89%。,27,29,東北風,24,公館鄉
