,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,27,84,24,2,35,06,28,25,10,陰時多雲。降雨機率 20%。溫度攝氏25至30度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度84%。,28,30,偏東風,24,卓蘭鎮
1,2023-07-26 06:00:00,32,71,24,2,42,04,32,25,0,多雲。降雨機率 20%。溫度攝氏25至35度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度71%。,28,35,偏北風,26,卓蘭鎮
2,2023-07-26 18:00:00,28,88,25,3,37,09,30,26,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏26至32度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度88%。,30,32,東南風,26,卓蘭鎮
3,2023-07-27 06:00:00,32,75,25,3,40,09,31,26,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏26至34度。舒適至易中暑。東北風 風速2級(每秒3公尺)。相對濕度75%。,30,34,東北風,27,卓蘭鎮
4,2023-07-27 18:00:00,27,90,24,4,36,11,29,25,8,陰短暫陣雨。降雨機率 80%。溫度攝氏25至30度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度90%。,29,30,東北風,25,卓蘭鎮
5,2023-07-28 06:00:00,29,76,24,2,35,10,28,25,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏25至31度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度76%。,29,31,東北風,24,卓蘭鎮
6,2023-07-28 18:00:00,26,85,23,1,33,08,27,25,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏25至28度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度85%。,28,28,東北風,23,卓蘭鎮
7,2023-07-29 06:00:00,30,76,23,2,39,22,30,25,0,多雲午後短暫雷陣雨。溫度攝氏25至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度76%。,28,33,偏北風,25,卓蘭鎮
8,2023-07-29 18:00:00,26,89,24,1,35,08,28,25,9,多雲短暫陣雨。溫度攝氏25至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度89%。,29,29,偏東風,24,卓蘭鎮
9,2023-07-30 06:00:00,30,87,24,2,40,22,31,25,0,多雲午後短暫雷陣雨。溫度攝氏25至32度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度87%。,29,32,偏北風,28,卓蘭鎮
10,2023-07-30 18:00:00,26,89,23,1,34,08,28,24,9,多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度89%。,28,29,偏東風,24,卓蘭鎮
11,2023-07-31 06:00:00,30,77,23,2,39,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度77%。,28,33,偏北風,26,卓蘭鎮
12,2023-07-31 18:00:00,26,90,24,1,34,06,28,24,9,陰時多雲。溫度攝氏24至29度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度90%。,29,29,東北風,24,卓蘭鎮
13,2023-08-01 06:00:00,30,79,24,2,39,04,30,24,0,多雲。溫度攝氏24至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度79%。,29,33,偏北風,26,卓蘭鎮
14,2023-08-01 18:00:00,26,90,24,1,33,04,27,24,,多雲。溫度攝氏24至29度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度90%。,28,29,偏南風,24,卓蘭鎮
