,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,89,23,2,36,04,29,24,9,多雲。降雨機率 20%。溫度攝氏24至30度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度89%。,28,30,偏南風,24,南庄鄉
1,2023-07-26 06:00:00,31,74,23,3,40,06,31,25,0,陰時多雲。降雨機率 20%。溫度攝氏25至34度。舒適至易中暑。偏南風 風速2級(每秒3公尺)。相對濕度74%。,28,34,偏南風,26,南庄鄉
2,2023-07-26 18:00:00,27,87,25,3,36,10,29,25,9,陰時多雲短暫陣雨。降雨機率 30%。溫度攝氏25至31度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度87%。,29,31,東南風,25,南庄鄉
3,2023-07-27 06:00:00,31,81,25,3,39,09,31,25,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏25至33度。舒適至易中暑。東北風 風速2級(每秒3公尺)。相對濕度81%。,29,33,東北風,27,南庄鄉
4,2023-07-27 18:00:00,26,94,24,1,35,08,29,24,8,多雲短暫陣雨。降雨機率 70%。溫度攝氏24至29度。舒適至悶熱。西南風 風速<= 1級(每秒1公尺)。相對濕度94%。,28,29,西南風,25,南庄鄉
5,2023-07-28 06:00:00,28,85,24,3,36,08,29,24,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏24至30度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度85%。,28,30,東北風,25,南庄鄉
6,2023-07-28 18:00:00,25,93,23,1,33,08,27,24,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度93%。,27,28,偏東風,24,南庄鄉
7,2023-07-29 06:00:00,29,84,23,1,39,22,31,24,0,多雲午後短暫雷陣雨。溫度攝氏24至32度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度84%。,27,32,東北風,26,南庄鄉
8,2023-07-29 18:00:00,25,95,23,1,35,08,28,24,8,多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,29,偏東風,24,南庄鄉
9,2023-07-30 06:00:00,29,92,23,1,40,22,31,24,0,多雲午後短暫雷陣雨。溫度攝氏24至32度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度92%。,27,32,東北風,28,南庄鄉
10,2023-07-30 18:00:00,25,95,23,1,35,08,28,24,9,多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,29,偏東風,24,南庄鄉
11,2023-07-31 06:00:00,29,84,23,1,39,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至32度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度84%。,27,32,偏北風,26,南庄鄉
12,2023-07-31 18:00:00,25,94,23,1,34,05,28,23,8,多雲時陰。溫度攝氏23至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度94%。,27,28,偏東風,24,南庄鄉
13,2023-08-01 06:00:00,29,84,23,1,39,22,30,23,0,多雲午後短暫雷陣雨。溫度攝氏23至32度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度84%。,27,32,偏北風,26,南庄鄉
14,2023-08-01 18:00:00,24,90,22,3,33,04,26,23,,多雲。溫度攝氏23至28度。舒適。偏東風 風速2級(每秒3公尺)。相對濕度90%。,25,28,偏東風,23,南庄鄉
