,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,25,87,23,2,35,04,28,23,10,多雲。降雨機率 20%。溫度攝氏23至30度。舒適至悶熱。東南風 風速<= 1級(每秒2公尺)。相對濕度87%。,26,30,東南風,23,大湖鄉
1,2023-07-26 06:00:00,32,72,23,2,43,04,32,24,0,多雲。降雨機率 20%。溫度攝氏24至36度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度72%。,26,36,偏北風,26,大湖鄉
2,2023-07-26 18:00:00,27,85,24,3,37,09,29,24,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏24至31度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度85%。,28,31,東南風,24,大湖鄉
3,2023-07-27 06:00:00,31,77,24,2,40,09,31,25,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏25至34度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度77%。,28,34,偏北風,27,大湖鄉
4,2023-07-27 18:00:00,25,92,23,2,35,11,28,23,8,陰短暫陣雨。降雨機率 80%。溫度攝氏23至30度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度92%。,27,30,東北風,24,大湖鄉
5,2023-07-28 06:00:00,29,80,23,2,36,10,29,24,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏24至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度80%。,27,31,偏北風,25,大湖鄉
6,2023-07-28 18:00:00,24,89,22,1,32,08,26,23,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏23至27度。舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度89%。,26,27,偏東風,22,大湖鄉
7,2023-07-29 06:00:00,30,80,22,1,39,22,30,23,0,多雲午後短暫雷陣雨。溫度攝氏23至33度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度80%。,26,33,偏北風,26,大湖鄉
8,2023-07-29 18:00:00,24,93,22,1,34,08,27,23,9,多雲短暫陣雨。溫度攝氏23至28度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度93%。,26,28,東北風,23,大湖鄉
9,2023-07-30 06:00:00,30,89,22,2,40,22,31,23,0,多雲午後短暫雷陣雨。溫度攝氏23至33度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度89%。,26,33,偏北風,27,大湖鄉
10,2023-07-30 18:00:00,24,93,22,1,33,08,27,22,10,多雲短暫陣雨。溫度攝氏22至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度93%。,25,28,偏東風,23,大湖鄉
11,2023-07-31 06:00:00,30,80,22,2,39,22,30,22,0,多雲午後短暫雷陣雨。溫度攝氏22至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度80%。,26,33,偏北風,26,大湖鄉
12,2023-07-31 18:00:00,24,93,22,1,33,06,27,22,9,陰時多雲。溫度攝氏22至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度93%。,26,28,偏東風,23,大湖鄉
13,2023-08-01 06:00:00,29,78,22,1,39,22,30,22,0,多雲午後短暫雷陣雨。溫度攝氏22至33度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度78%。,26,33,偏北風,25,大湖鄉
14,2023-08-01 18:00:00,24,91,21,2,32,04,26,22,,多雲。溫度攝氏22至27度。舒適。偏南風 風速2級(每秒2公尺)。相對濕度91%。,24,27,偏南風,22,大湖鄉
