,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,85,26,2,37,03,30,27,9,多雲時晴。降雨機率 20%。溫度攝氏27至32度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,32,偏東風,26,後龍鎮
1,2023-07-26 06:00:00,33,66,26,5,39,02,31,27,0,晴時多雲。降雨機率 20%。溫度攝氏27至36度。舒適至易中暑。偏北風 風速3級(每秒5公尺)。相對濕度66%。,31,36,偏北風,26,後龍鎮
2,2023-07-26 18:00:00,29,86,26,5,37,08,30,28,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏28至33度。舒適至悶熱。偏東風 風速3級(每秒5公尺)。相對濕度86%。,31,33,偏東風,27,後龍鎮
3,2023-07-27 06:00:00,33,75,26,5,41,09,32,28,0,多雲時陰短暫陣雨。降雨機率 50%。溫度攝氏28至35度。舒適至易中暑。偏北風 風速3級(每秒5公尺)。相對濕度75%。,31,35,偏北風,27,後龍鎮
4,2023-07-27 18:00:00,29,89,26,3,36,10,30,27,7,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度89%。,32,32,偏南風,27,後龍鎮
5,2023-07-28 06:00:00,30,80,26,3,37,10,30,27,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度80%。,32,32,偏北風,26,後龍鎮
6,2023-07-28 18:00:00,28,87,25,2,35,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度87%。,30,30,東北風,25,後龍鎮
7,2023-07-29 06:00:00,31,74,25,2,38,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度74%。,30,33,偏北風,26,後龍鎮
8,2023-07-29 18:00:00,28,91,26,1,36,08,29,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,31,31,東北風,26,後龍鎮
9,2023-07-30 06:00:00,31,85,26,2,40,22,31,27,0,多雲午後短暫雷陣雨。溫度攝氏27至33度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,33,東北風,28,後龍鎮
10,2023-07-30 18:00:00,28,89,25,1,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度89%。,31,31,東北風,26,後龍鎮
11,2023-07-31 06:00:00,31,79,25,2,39,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度79%。,31,33,偏北風,27,後龍鎮
12,2023-07-31 18:00:00,28,88,25,1,36,05,29,26,8,多雲時陰。溫度攝氏26至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,30,31,東北風,26,後龍鎮
13,2023-08-01 06:00:00,31,75,25,3,38,04,30,26,0,多雲。溫度攝氏26至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度75%。,30,33,西北風,26,後龍鎮
14,2023-08-01 18:00:00,28,86,25,4,35,03,28,26,,多雲時晴。溫度攝氏26至30度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度86%。,29,30,西南風,25,後龍鎮
