,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,90,23,2,35,04,28,24,10,多雲。降雨機率 20%。溫度攝氏24至29度。舒適至悶熱。偏東風 風速2級(每秒2公尺)。相對濕度90%。,27,29,偏東風,24,泰安鄉
1,2023-07-26 06:00:00,31,76,23,2,41,04,32,24,0,多雲。降雨機率 20%。溫度攝氏24至34度。舒適至易中暑。偏南風 風速<= 1級(每秒2公尺)。相對濕度76%。,27,34,偏南風,26,泰安鄉
2,2023-07-26 18:00:00,27,85,25,2,36,09,29,25,9,多雲時陰短暫陣雨。降雨機率 40%。溫度攝氏25至30度。舒適至悶熱。東南風 風速2級(每秒2公尺)。相對濕度85%。,29,30,東南風,24,泰安鄉
3,2023-07-27 06:00:00,31,81,25,2,40,09,31,26,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏26至33度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度81%。,29,33,偏北風,27,泰安鄉
4,2023-07-27 18:00:00,26,92,23,2,35,10,28,24,8,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏24至29度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度92%。,28,29,偏東風,24,泰安鄉
5,2023-07-28 06:00:00,28,85,23,2,35,10,28,24,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏24至30度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度85%。,28,30,偏北風,25,泰安鄉
6,2023-07-28 18:00:00,25,92,23,1,32,08,26,24,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至27度。舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,27,27,偏東風,23,泰安鄉
7,2023-07-29 06:00:00,29,86,23,1,38,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度86%。,27,31,偏北風,26,泰安鄉
8,2023-07-29 18:00:00,25,94,23,1,33,08,27,24,9,多雲短暫陣雨。溫度攝氏24至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度94%。,28,28,偏東風,24,泰安鄉
9,2023-07-30 06:00:00,29,91,23,1,38,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度91%。,28,31,偏北風,27,泰安鄉
10,2023-07-30 18:00:00,25,95,23,1,33,08,27,23,10,多雲短暫陣雨。溫度攝氏23至27度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度95%。,28,27,東北風,24,泰安鄉
11,2023-07-31 06:00:00,29,87,23,1,38,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至32度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度87%。,28,32,偏北風,26,泰安鄉
12,2023-07-31 18:00:00,25,94,23,1,33,05,27,23,9,多雲時陰。溫度攝氏23至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度94%。,27,28,偏東風,24,泰安鄉
13,2023-08-01 06:00:00,29,83,23,1,37,22,29,23,0,多雲午後短暫雷陣雨。溫度攝氏23至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度83%。,27,31,偏北風,25,泰安鄉
14,2023-08-01 18:00:00,25,93,23,1,32,04,26,23,,多雲。溫度攝氏23至27度。舒適。偏南風 風速<= 1級(每秒1公尺)。相對濕度93%。,27,27,偏南風,23,泰安鄉
