,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,89,23,2,37,03,29,24,10,多雲時晴。降雨機率 20%。溫度攝氏24至31度。舒適至悶熱。東南風 風速<= 1級(每秒2公尺)。相對濕度89%。,28,31,東南風,25,獅潭鄉
1,2023-07-26 06:00:00,33,68,23,2,41,04,31,25,0,多雲。降雨機率 20%。溫度攝氏25至36度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度68%。,28,36,偏西風,26,獅潭鄉
2,2023-07-26 18:00:00,27,87,25,3,38,09,30,25,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏25至32度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度87%。,30,32,東南風,25,獅潭鄉
3,2023-07-27 06:00:00,32,77,25,2,42,09,32,26,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏26至35度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度77%。,30,35,偏北風,27,獅潭鄉
4,2023-07-27 18:00:00,26,94,24,2,37,10,30,24,8,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏24至31度。舒適至悶熱。東南風 風速2級(每秒2公尺)。相對濕度94%。,29,31,東南風,25,獅潭鄉
5,2023-07-28 06:00:00,30,84,24,3,38,10,30,25,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏25至32度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度84%。,29,32,東北風,27,獅潭鄉
6,2023-07-28 18:00:00,25,92,23,2,34,08,28,24,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至28度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度92%。,27,28,偏東風,24,獅潭鄉
7,2023-07-29 06:00:00,30,82,23,1,40,22,31,24,0,多雲午後短暫雷陣雨。溫度攝氏24至33度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度82%。,27,33,東北風,27,獅潭鄉
8,2023-07-29 18:00:00,25,95,23,1,35,08,29,24,9,多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,29,東北風,25,獅潭鄉
9,2023-07-30 06:00:00,30,91,23,1,41,22,32,24,0,多雲午後短暫雷陣雨。溫度攝氏24至33度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,28,33,東北風,28,獅潭鄉
10,2023-07-30 18:00:00,25,95,23,1,35,08,29,24,10,多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,29,東北風,25,獅潭鄉
11,2023-07-31 06:00:00,30,85,23,1,40,22,31,24,0,多雲午後短暫雷陣雨。溫度攝氏24至33度。舒適至易中暑。偏北風 風速<= 1級(每秒1公尺)。相對濕度85%。,27,33,偏北風,27,獅潭鄉
12,2023-07-31 18:00:00,25,95,23,1,35,05,28,23,9,多雲時陰。溫度攝氏23至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,29,偏東風,24,獅潭鄉
13,2023-08-01 06:00:00,30,81,23,2,40,22,31,23,0,多雲午後短暫雷陣雨。溫度攝氏23至33度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度81%。,27,33,偏北風,26,獅潭鄉
14,2023-08-01 18:00:00,25,92,22,3,33,04,27,23,,多雲。溫度攝氏23至28度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度92%。,25,28,東北風,23,獅潭鄉
