,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,80,26,3,37,03,29,27,9,多雲時晴。降雨機率 20%。溫度攝氏27至32度。舒適至悶熱。偏東風 風速2級(每秒3公尺)。相對濕度80%。,31,32,偏東風,25,竹南鎮
1,2023-07-26 06:00:00,33,64,26,5,38,02,30,27,0,晴時多雲。降雨機率 20%。溫度攝氏27至35度。舒適至悶熱。東北風 風速3級(每秒5公尺)。相對濕度64%。,31,35,東北風,25,竹南鎮
2,2023-07-26 18:00:00,29,79,26,5,36,08,29,28,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速3級(每秒5公尺)。相對濕度79%。,31,32,偏東風,25,竹南鎮
3,2023-07-27 06:00:00,32,75,26,5,40,09,31,28,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏28至34度。舒適至易中暑。偏北風 風速3級(每秒5公尺)。相對濕度75%。,31,34,偏北風,27,竹南鎮
4,2023-07-27 18:00:00,29,88,26,2,36,09,30,27,7,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏27至32度。舒適至悶熱。西南風 風速2級(每秒2公尺)。相對濕度88%。,31,32,西南風,26,竹南鎮
5,2023-07-28 06:00:00,30,81,26,3,36,10,29,27,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏27至31度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度81%。,31,31,偏北風,26,竹南鎮
6,2023-07-28 18:00:00,28,86,25,2,34,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至29度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度86%。,30,29,東北風,25,竹南鎮
7,2023-07-29 06:00:00,31,75,25,3,37,22,29,27,0,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度75%。,30,32,東北風,26,竹南鎮
8,2023-07-29 18:00:00,28,88,25,1,35,08,29,26,8,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,31,30,東北風,26,竹南鎮
9,2023-07-30 06:00:00,30,85,25,2,38,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至32度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度85%。,31,32,東北風,28,竹南鎮
10,2023-07-30 18:00:00,28,88,25,1,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,31,30,東北風,25,竹南鎮
11,2023-07-31 06:00:00,31,79,25,3,38,22,29,26,0,多雲午後短暫雷陣雨。溫度攝氏26至32度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度79%。,31,32,西北風,26,竹南鎮
12,2023-07-31 18:00:00,27,88,24,1,35,05,29,26,8,多雲時陰。溫度攝氏26至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,30,30,東北風,25,竹南鎮
13,2023-08-01 06:00:00,30,75,24,3,37,04,29,26,0,多雲。溫度攝氏26至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度75%。,30,32,偏北風,25,竹南鎮
14,2023-08-01 18:00:00,28,84,25,6,35,04,28,26,,多雲。溫度攝氏26至30度。舒適至悶熱。西南風 風速4級(每秒6公尺)。相對濕度84%。,27,30,西南風,25,竹南鎮
