,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,82,26,3,35,03,28,27,10,多雲時晴。降雨機率 20%。溫度攝氏27至30度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度82%。,31,30,東南風,25,苑裡鎮
1,2023-07-26 06:00:00,32,70,26,4,40,04,31,27,0,多雲。降雨機率 20%。溫度攝氏27至34度。舒適至易中暑。偏東風 風速3級(每秒4公尺)。相對濕度70%。,31,34,偏東風,26,苑裡鎮
2,2023-07-26 18:00:00,29,84,27,5,36,08,29,28,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏28至31度。悶熱。偏南風 風速3級(每秒5公尺)。相對濕度84%。,31,31,偏南風,26,苑裡鎮
3,2023-07-27 06:00:00,31,75,27,5,38,08,30,28,0,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至33度。悶熱。東北風 風速3級(每秒5公尺)。相對濕度75%。,31,33,東北風,26,苑裡鎮
4,2023-07-27 18:00:00,28,85,27,3,33,10,29,27,7,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至30度。悶熱。偏南風 風速2級(每秒3公尺)。相對濕度85%。,32,30,偏南風,26,苑裡鎮
5,2023-07-28 06:00:00,30,78,27,3,35,09,28,28,0,多雲時陰短暫陣雨。降雨機率 50%。溫度攝氏28至31度。悶熱。東北風 風速2級(每秒3公尺)。相對濕度78%。,32,31,東北風,25,苑裡鎮
6,2023-07-28 18:00:00,28,85,26,2,33,08,27,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至29度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,29,偏北風,25,苑裡鎮
7,2023-07-29 06:00:00,30,75,26,3,36,22,29,27,0,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度75%。,31,32,西北風,25,苑裡鎮
8,2023-07-29 18:00:00,28,88,26,2,34,08,28,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度88%。,31,30,東北風,26,苑裡鎮
9,2023-07-30 06:00:00,30,83,26,3,37,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度83%。,31,32,偏北風,27,苑裡鎮
10,2023-07-30 18:00:00,28,86,25,2,34,08,28,27,9,多雲短暫陣雨。溫度攝氏27至29度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,29,偏東風,25,苑裡鎮
11,2023-07-31 06:00:00,30,74,25,3,36,22,29,27,0,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度74%。,31,32,偏北風,25,苑裡鎮
12,2023-07-31 18:00:00,28,85,26,2,34,06,28,27,8,陰時多雲。溫度攝氏27至30度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,30,東北風,25,苑裡鎮
13,2023-08-01 06:00:00,30,74,26,3,37,04,29,27,0,多雲。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度74%。,31,32,偏北風,25,苑裡鎮
14,2023-08-01 18:00:00,27,83,25,3,33,04,27,27,,多雲。溫度攝氏27至29度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度83%。,29,29,偏南風,24,苑裡鎮
