,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,83,25,2,37,03,29,27,9,多雲時晴。降雨機率 20%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度83%。,31,32,偏南風,26,苗栗市
1,2023-07-26 06:00:00,33,64,25,3,40,04,31,27,0,多雲。降雨機率 20%。溫度攝氏27至36度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度64%。,31,36,西北風,26,苗栗市
2,2023-07-26 18:00:00,29,84,26,4,39,08,31,27,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至33度。舒適至易中暑。西南風 風速3級(每秒4公尺)。相對濕度84%。,32,33,西南風,26,苗栗市
3,2023-07-27 06:00:00,33,72,26,4,41,09,31,27,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏27至35度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度72%。,32,35,偏北風,27,苗栗市
4,2023-07-27 18:00:00,29,89,26,3,37,11,30,27,8,陰短暫陣雨。降雨機率 60%。溫度攝氏27至32度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度89%。,32,32,東南風,27,苗栗市
5,2023-07-28 06:00:00,30,78,26,3,37,10,29,27,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏27至32度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度78%。,32,32,東北風,26,苗栗市
6,2023-07-28 18:00:00,28,86,25,2,35,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度86%。,30,30,偏北風,25,苗栗市
7,2023-07-29 06:00:00,31,72,25,2,39,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度72%。,30,33,偏北風,26,苗栗市
8,2023-07-29 18:00:00,28,91,26,1,37,08,29,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,31,31,東北風,26,苗栗市
9,2023-07-30 06:00:00,31,85,26,2,40,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至33度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,33,東北風,28,苗栗市
10,2023-07-30 18:00:00,28,89,25,1,37,08,30,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度89%。,31,31,東北風,26,苗栗市
11,2023-07-31 06:00:00,31,76,25,2,39,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度76%。,31,33,偏北風,27,苗栗市
12,2023-07-31 18:00:00,28,88,25,1,37,05,29,26,8,多雲時陰。溫度攝氏26至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度88%。,30,31,偏東風,26,苗栗市
13,2023-08-01 06:00:00,31,73,25,2,39,04,30,26,0,多雲。溫度攝氏26至33度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度73%。,30,33,西北風,25,苗栗市
14,2023-08-01 18:00:00,28,85,25,3,35,03,28,26,,多雲時晴。溫度攝氏26至30度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度85%。,29,30,西南風,25,苗栗市
