,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,83,25,2,35,03,28,27,9,多雲時晴。降雨機率 20%。溫度攝氏27至30度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度83%。,30,30,偏南風,25,通霄鎮
1,2023-07-26 06:00:00,32,68,25,4,40,02,31,27,0,晴時多雲。降雨機率 20%。溫度攝氏27至34度。舒適至易中暑。西南風 風速3級(每秒4公尺)。相對濕度68%。,30,34,西南風,26,通霄鎮
2,2023-07-26 18:00:00,29,83,26,5,35,08,29,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至31度。舒適至悶熱。西南風 風速3級(每秒5公尺)。相對濕度83%。,31,31,西南風,26,通霄鎮
3,2023-07-27 06:00:00,32,72,26,5,38,08,30,28,0,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至33度。舒適至悶熱。東北風 風速3級(每秒5公尺)。相對濕度72%。,31,33,東北風,26,通霄鎮
4,2023-07-27 18:00:00,28,85,26,3,33,10,28,27,7,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至31度。舒適至悶熱。偏西風 風速2級(每秒3公尺)。相對濕度85%。,32,31,偏西風,25,通霄鎮
5,2023-07-28 06:00:00,30,76,26,3,36,09,29,27,0,多雲時陰短暫陣雨。降雨機率 50%。溫度攝氏27至31度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度76%。,32,31,東北風,25,通霄鎮
6,2023-07-28 18:00:00,28,84,25,2,34,08,27,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至29度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度84%。,30,29,偏北風,25,通霄鎮
7,2023-07-29 06:00:00,31,72,25,3,37,22,29,27,0,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度72%。,30,32,偏北風,25,通霄鎮
8,2023-07-29 18:00:00,28,87,26,2,34,08,28,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度87%。,31,30,東北風,25,通霄鎮
9,2023-07-30 06:00:00,30,81,26,3,37,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度81%。,31,32,偏北風,27,通霄鎮
10,2023-07-30 18:00:00,27,85,25,1,34,08,28,26,9,多雲短暫陣雨。溫度攝氏26至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度85%。,30,29,偏東風,25,通霄鎮
11,2023-07-31 06:00:00,30,72,25,3,37,22,29,26,0,多雲午後短暫雷陣雨。溫度攝氏26至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度72%。,30,32,偏北風,25,通霄鎮
12,2023-07-31 18:00:00,27,84,25,1,34,06,28,26,8,陰時多雲。溫度攝氏26至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度84%。,31,30,東北風,24,通霄鎮
13,2023-08-01 06:00:00,30,72,25,3,37,04,29,27,0,多雲。溫度攝氏27至32度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度72%。,31,32,西北風,25,通霄鎮
14,2023-08-01 18:00:00,27,83,25,3,33,04,27,26,,多雲。溫度攝氏26至29度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度83%。,29,29,偏南風,24,通霄鎮
