,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,84,25,2,38,03,30,26,9,多雲時晴。降雨機率 20%。溫度攝氏26至32度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度84%。,30,32,偏南風,25,造橋鄉
1,2023-07-26 06:00:00,34,64,25,4,40,04,31,26,0,多雲。降雨機率 20%。溫度攝氏26至36度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度64%。,30,36,偏北風,26,造橋鄉
2,2023-07-26 18:00:00,29,84,26,5,38,08,31,27,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至33度。舒適至易中暑。偏南風 風速3級(每秒5公尺)。相對濕度84%。,31,33,偏南風,26,造橋鄉
3,2023-07-27 06:00:00,33,73,26,4,42,09,32,27,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏27至35度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度73%。,31,35,偏北風,27,造橋鄉
4,2023-07-27 18:00:00,29,90,26,2,37,10,30,26,7,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏26至32度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度90%。,31,32,偏南風,27,造橋鄉
5,2023-07-28 06:00:00,31,80,26,3,38,10,30,26,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏26至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度80%。,31,32,偏北風,27,造橋鄉
6,2023-07-28 18:00:00,27,88,24,2,35,08,29,26,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏26至30度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度88%。,29,30,東北風,25,造橋鄉
7,2023-07-29 06:00:00,31,73,24,1,40,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至34度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度73%。,29,34,東北風,26,造橋鄉
8,2023-07-29 18:00:00,28,90,25,1,37,08,29,26,8,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度90%。,30,31,東北風,26,造橋鄉
9,2023-07-30 06:00:00,31,86,25,1,41,22,32,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度86%。,30,33,東北風,29,造橋鄉
10,2023-07-30 18:00:00,28,91,25,1,38,08,30,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,30,31,東北風,26,造橋鄉
11,2023-07-31 06:00:00,31,78,25,1,40,22,31,26,0,多雲午後短暫雷陣雨。溫度攝氏26至34度。舒適至易中暑。偏北風 風速<= 1級(每秒1公尺)。相對濕度78%。,30,34,偏北風,27,造橋鄉
12,2023-07-31 18:00:00,27,91,24,1,37,05,29,25,8,多雲時陰。溫度攝氏25至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度91%。,29,31,偏東風,26,造橋鄉
13,2023-08-01 06:00:00,31,75,24,2,40,04,30,25,0,多雲。溫度攝氏25至34度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度75%。,29,34,西北風,26,造橋鄉
14,2023-08-01 18:00:00,27,87,24,4,36,04,28,25,,多雲。溫度攝氏25至30度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度87%。,27,30,西南風,25,造橋鄉
