,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,84,25,1,36,03,29,26,9,多雲時晴。降雨機率 20%。溫度攝氏26至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度84%。,30,31,偏南風,25,銅鑼鄉
1,2023-07-26 06:00:00,33,67,25,3,41,04,31,26,0,多雲。降雨機率 20%。溫度攝氏26至35度。舒適至易中暑。偏西風 風速2級(每秒3公尺)。相對濕度67%。,30,35,偏西風,26,銅鑼鄉
2,2023-07-26 18:00:00,28,84,26,3,37,09,30,27,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度84%。,31,32,偏南風,25,銅鑼鄉
3,2023-07-27 06:00:00,32,73,26,4,39,09,31,27,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏27至34度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度73%。,31,34,偏北風,27,銅鑼鄉
4,2023-07-27 18:00:00,28,90,26,3,35,11,29,26,8,陰短暫陣雨。降雨機率 70%。溫度攝氏26至31度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度90%。,31,31,偏北風,26,銅鑼鄉
5,2023-07-28 06:00:00,30,78,26,3,36,10,29,26,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏26至31度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度78%。,31,31,東北風,26,銅鑼鄉
6,2023-07-28 18:00:00,27,87,24,2,34,08,27,26,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏26至29度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度87%。,29,29,偏北風,24,銅鑼鄉
7,2023-07-29 06:00:00,31,73,24,2,38,22,29,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度73%。,29,33,偏北風,25,銅鑼鄉
8,2023-07-29 18:00:00,27,91,25,1,35,08,28,25,8,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,30,30,東北風,25,銅鑼鄉
9,2023-07-30 06:00:00,31,86,25,2,39,22,31,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度86%。,30,33,偏北風,28,銅鑼鄉
10,2023-07-30 18:00:00,27,90,24,1,36,08,29,25,9,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度90%。,29,30,東北風,25,銅鑼鄉
11,2023-07-31 06:00:00,31,74,24,2,38,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度74%。,30,33,偏北風,26,銅鑼鄉
12,2023-07-31 18:00:00,27,89,24,1,35,05,28,25,8,多雲時陰。溫度攝氏25至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度89%。,29,30,東北風,25,銅鑼鄉
13,2023-08-01 06:00:00,31,74,24,2,38,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至33度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度74%。,30,33,西北風,25,銅鑼鄉
14,2023-08-01 18:00:00,26,87,24,3,34,04,27,25,,多雲。溫度攝氏25至29度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度87%。,28,29,偏北風,24,銅鑼鄉
