,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,77,26,2,39,04,30,27,9,多雲。降雨機率 20%。溫度攝氏27至34度。舒適至悶熱。東南風 風速2級(每秒2公尺)。相對濕度77%。,31,34,東南風,25,頭份市
1,2023-07-26 06:00:00,34,61,26,4,41,04,31,27,0,多雲。降雨機率 20%。溫度攝氏27至37度。舒適至易中暑。東北風 風速3級(每秒4公尺)。相對濕度61%。,31,37,東北風,26,頭份市
2,2023-07-26 18:00:00,30,78,26,4,39,09,31,28,9,多雲時陰短暫陣雨。降雨機率 30%。溫度攝氏28至34度。舒適至易中暑。偏東風 風速3級(每秒4公尺)。相對濕度78%。,32,34,偏東風,26,頭份市
3,2023-07-27 06:00:00,34,72,26,4,43,09,32,28,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏28至36度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度72%。,32,36,偏北風,28,頭份市
4,2023-07-27 18:00:00,29,87,26,2,39,10,31,27,7,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏27至33度。舒適至易中暑。偏南風 風速<= 1級(每秒2公尺)。相對濕度87%。,31,33,偏南風,27,頭份市
5,2023-07-28 06:00:00,31,80,26,3,39,10,30,27,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏27至33度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度80%。,31,33,偏北風,27,頭份市
6,2023-07-28 18:00:00,28,85,25,2,36,08,29,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至31度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,31,偏東風,26,頭份市
7,2023-07-29 06:00:00,32,72,25,2,41,22,31,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度72%。,31,34,東北風,27,頭份市
8,2023-07-29 18:00:00,29,88,26,1,39,08,30,27,8,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度88%。,32,32,偏東風,26,頭份市
9,2023-07-30 06:00:00,32,83,26,2,42,22,33,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度83%。,32,34,東北風,29,頭份市
10,2023-07-30 18:00:00,29,88,26,1,39,08,31,27,9,多雲短暫陣雨。溫度攝氏27至32度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,32,32,東北風,27,頭份市
11,2023-07-31 06:00:00,33,77,26,2,41,22,31,27,0,多雲午後短暫雷陣雨。溫度攝氏27至35度。舒適至易中暑。西北風 風速<= 1級(每秒2公尺)。相對濕度77%。,32,35,西北風,28,頭份市
12,2023-07-31 18:00:00,28,89,25,1,39,05,30,26,8,多雲時陰。溫度攝氏26至32度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度89%。,30,32,偏東風,26,頭份市
13,2023-08-01 06:00:00,32,74,25,2,41,04,31,26,0,多雲。溫度攝氏26至35度。舒適至易中暑。西北風 風速<= 1級(每秒2公尺)。相對濕度74%。,30,35,西北風,27,頭份市
14,2023-08-01 18:00:00,29,85,25,5,38,04,29,27,,多雲。溫度攝氏27至32度。舒適至悶熱。西南風 風速3級(每秒5公尺)。相對濕度85%。,29,32,西南風,26,頭份市
