,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,27,85,24,1,37,03,29,25,9,多雲時晴。降雨機率 20%。溫度攝氏25至32度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度85%。,28,32,偏南風,24,頭屋鄉
1,2023-07-26 06:00:00,33,62,24,3,40,04,31,25,0,多雲。降雨機率 20%。溫度攝氏25至36度。舒適至易中暑。偏西風 風速2級(每秒3公尺)。相對濕度62%。,28,36,偏西風,24,頭屋鄉
2,2023-07-26 18:00:00,28,85,25,4,38,08,30,26,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏26至33度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度85%。,29,33,西南風,25,頭屋鄉
3,2023-07-27 06:00:00,32,71,25,3,41,09,31,26,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏26至35度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度71%。,29,35,偏北風,26,頭屋鄉
4,2023-07-27 18:00:00,27,91,24,2,36,10,30,25,7,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏25至31度。舒適至悶熱。東南風 風速2級(每秒2公尺)。相對濕度91%。,29,31,東南風,26,頭屋鄉
5,2023-07-28 06:00:00,30,79,24,3,37,10,30,25,0,陰時多雲短暫陣雨。降雨機率 50%。溫度攝氏25至32度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度79%。,29,32,東北風,26,頭屋鄉
6,2023-07-28 18:00:00,26,88,23,2,34,08,28,24,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至29度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度88%。,27,29,偏東風,24,頭屋鄉
7,2023-07-29 06:00:00,31,72,23,1,40,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至34度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度72%。,27,34,東北風,25,頭屋鄉
8,2023-07-29 18:00:00,26,91,24,1,36,08,29,24,8,多雲短暫陣雨。溫度攝氏24至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,28,30,東北風,25,頭屋鄉
9,2023-07-30 06:00:00,31,86,24,2,41,22,32,24,0,多雲午後短暫雷陣雨。溫度攝氏24至33度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度86%。,28,33,東北風,28,頭屋鄉
10,2023-07-30 18:00:00,26,92,24,1,37,08,29,24,9,多雲短暫陣雨。溫度攝氏24至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度92%。,28,30,東北風,25,頭屋鄉
11,2023-07-31 06:00:00,31,78,24,2,40,22,30,24,0,多雲午後短暫雷陣雨。溫度攝氏24至34度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度78%。,28,34,偏北風,26,頭屋鄉
12,2023-07-31 18:00:00,26,92,23,1,36,05,29,24,8,多雲時陰。溫度攝氏24至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,28,30,偏東風,25,頭屋鄉
13,2023-08-01 06:00:00,30,75,23,2,40,04,30,24,0,多雲。溫度攝氏24至34度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度75%。,28,34,偏北風,25,頭屋鄉
14,2023-08-01 18:00:00,26,87,23,4,35,04,28,24,,多雲。溫度攝氏24至30度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度87%。,25,30,西南風,24,頭屋鄉
