,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,32,81,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度81%。,6,偏東風,29,中山區
1,2023-07-25 21:00:00,07,33,31,75,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度75%。,6,偏東風,26,中山區
2,2023-07-26 00:00:00,08,31,30,70,27,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度70%。,6,偏東風,24,中山區
3,2023-07-26 03:00:00,07,30,29,66,26,陰。降雨機率 60%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度66%。,6,偏東風,22,中山區
4,2023-07-26 06:00:00,08,29,28,68,26,短暫陣雨。降雨機率 90%。溫度攝氏28度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度68%。,7,偏東風,22,中山區
5,2023-07-26 09:00:00,08,31,30,73,28,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度73%。,8,偏東風,25,中山區
6,2023-07-26 12:00:00,08,32,32,71,29,短暫陣雨。降雨機率 90%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度71%。,8,偏東風,26,中山區
7,2023-07-26 15:00:00,08,32,31,74,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度74%。,8,偏東風,26,中山區
8,2023-07-26 18:00:00,08,32,30,82,29,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度82%。,8,偏東風,27,中山區
9,2023-07-26 21:00:00,08,30,30,78,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度78%。,9,偏東風,25,中山區
