,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,32,82,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度82%。,6,偏東風,28,信義區
1,2023-07-25 21:00:00,07,33,30,77,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度77%。,7,偏東風,26,信義區
2,2023-07-26 00:00:00,08,30,29,73,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度73%。,6,偏東風,24,信義區
3,2023-07-26 03:00:00,08,29,28,72,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度72%。,6,偏東風,23,信義區
4,2023-07-26 06:00:00,08,29,28,73,26,短暫陣雨。降雨機率 90%。溫度攝氏28度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度73%。,7,偏東風,22,信義區
5,2023-07-26 09:00:00,08,31,30,74,27,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度74%。,8,偏東風,25,信義區
6,2023-07-26 12:00:00,08,32,31,71,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度71%。,8,偏東風,26,信義區
7,2023-07-26 15:00:00,08,32,31,75,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度75%。,7,偏東風,26,信義區
8,2023-07-26 18:00:00,08,32,30,85,29,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度85%。,8,偏東風,27,信義區
9,2023-07-26 21:00:00,08,30,29,81,27,短暫陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度81%。,9,偏東風,26,信義區
10,2023-07-27 00:00:00,08,28,29,78,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度78%。,9,偏東風,24,信義區
11,2023-07-27 03:00:00,08,27,28,77,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度77%。,9,偏東風,24,信義區
12,2023-07-27 06:00:00,08,27,28,79,26,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度79%。,9,偏東風,24,信義區
13,2023-07-27 09:00:00,08,31,31,74,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度74%。,10,偏東風,26,信義區
14,2023-07-27 12:00:00,08,33,33,67,29,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度67%。,9,偏東風,26,信義區
15,2023-07-27 15:00:00,08,32,32,64,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度64%。,9,偏東風,25,信義區
16,2023-07-27 18:00:00,08,31,31,72,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度72%。,10,東南風,25,信義區
17,2023-07-27 21:00:00,08,28,29,65,26,短暫陣雨。降雨機率 70%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度65%。,9,東南風,22,信義區
18,2023-07-28 00:00:00,08,26,29,58,25,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度58%。,10,東南風,19,信義區
19,2023-07-28 03:00:00,04,25,28,53,24,多雲。降雨機率 50%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度53%。,9,東南風,17,信義區
20,2023-07-28 06:00:00,08,25,28,55,24,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。東南風 平均風速2-3級(每秒5公尺)。相對濕度55%。,5,東南風,18,信義區
21,2023-07-28 09:00:00,08,32,30,65,27,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度65%。,6,偏南風,23,信義區
22,2023-07-28 12:00:00,08,35,33,69,29,短暫陣雨。降雨機率 50%。溫度攝氏33度。悶熱。東南風 平均風速2-3級(每秒5公尺)。相對濕度69%。,5,東南風,26,信義區
23,2023-07-28 15:00:00,08,34,32,65,28,短暫陣雨。降雨機率 50%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度65%。,3,東南風,24,信義區
24,2023-07-28 18:00:00,08,34,30,75,28,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。東南風 平均風速2-3級(每秒4公尺)。相對濕度75%。,4,東南風,25,信義區
25,2023-07-28 21:00:00,04,32,29,80,27,多雲。降雨機率 30%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,東南風,25,信義區
26,2023-07-29 00:00:00,04,32,28,84,27,多雲。降雨機率 0%。溫度攝氏28度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,偏東風,25,信義區
27,2023-07-29 03:00:00,04,32,27,82,26,多雲。降雨機率 0%。溫度攝氏27度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,偏東風,24,信義區
28,2023-07-29 06:00:00,04,31,27,75,25,多雲。降雨機率 40%。溫度攝氏27度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度75%。,1,東南風,22,信義區
29,2023-07-29 09:00:00,08,36,31,67,28,短暫陣雨。降雨機率 40%。溫度攝氏31度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏南風,24,信義區
30,2023-07-29 12:00:00,15,40,35,61,30,午後短暫雷陣雨。降雨機率 90%。溫度攝氏35度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度61%。,2,西南風,26,信義區
31,2023-07-29 15:00:00,15,38,33,62,29,午後短暫雷陣雨。降雨機率 90%。溫度攝氏33度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度62%。,2,偏南風,25,信義區
