,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,33,31,76,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度76%。,5,偏東風,27,北投區
1,2023-07-25 21:00:00,07,32,30,75,27,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度75%。,6,偏東風,25,北投區
2,2023-07-26 00:00:00,07,30,29,72,27,陰。降雨機率 60%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度72%。,6,偏東風,23,北投區
3,2023-07-26 03:00:00,08,29,28,67,26,短暫陣雨。降雨機率 60%。溫度攝氏28度。舒適。偏東風 平均風速2-3級(每秒5公尺)。相對濕度67%。,5,偏東風,21,北投區
4,2023-07-26 06:00:00,08,29,28,68,25,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒8公尺)。相對濕度68%。,8,偏東風,21,北投區
5,2023-07-26 09:00:00,08,31,30,75,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度75%。,9,偏東風,25,北投區
6,2023-07-26 12:00:00,08,32,32,74,29,短暫陣雨。降雨機率 90%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度74%。,9,偏東風,26,北投區
7,2023-07-26 15:00:00,08,31,31,77,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度77%。,9,偏東風,27,北投區
8,2023-07-26 18:00:00,08,30,30,80,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度80%。,9,偏東風,26,北投區
9,2023-07-26 21:00:00,07,28,29,78,27,陰。降雨機率 70%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度78%。,10,偏東風,25,北投區
10,2023-07-27 00:00:00,08,27,28,76,26,短暫陣雨。降雨機率 60%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度76%。,10,東南風,24,北投區
11,2023-07-27 03:00:00,08,26,28,77,26,短暫陣雨。降雨機率 60%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度77%。,10,偏東風,24,北投區
12,2023-07-27 06:00:00,08,26,28,79,26,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度79%。,10,偏東風,24,北投區
13,2023-07-27 09:00:00,08,30,31,71,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏東風 平均風速>= 6級(每秒11公尺)。相對濕度71%。,>= 11,偏東風,25,北投區
14,2023-07-27 12:00:00,08,32,33,65,29,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度65%。,8,偏東風,25,北投區
15,2023-07-27 15:00:00,08,33,32,66,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度66%。,8,偏東風,25,北投區
16,2023-07-27 18:00:00,08,31,31,73,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒9公尺)。相對濕度73%。,9,東南風,25,北投區
17,2023-07-27 21:00:00,08,28,29,65,26,短暫陣雨。降雨機率 70%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度65%。,9,東南風,22,北投區
18,2023-07-28 00:00:00,08,25,29,42,24,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度42%。,10,東南風,14,北投區
19,2023-07-28 03:00:00,07,23,28,34,23,陰。降雨機率 50%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度34%。,9,東南風,11,北投區
20,2023-07-28 06:00:00,08,24,28,39,23,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。東南風 平均風速2-3級(每秒5公尺)。相對濕度39%。,5,東南風,13,北投區
21,2023-07-28 09:00:00,08,32,30,66,27,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度66%。,5,偏南風,23,北投區
22,2023-07-28 12:00:00,08,35,32,72,29,短暫陣雨。降雨機率 50%。溫度攝氏32度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度72%。,4,偏南風,26,北投區
23,2023-07-28 15:00:00,08,35,32,66,28,短暫陣雨。降雨機率 50%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,東南風,24,北投區
