,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,31,80,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度80%。,5,偏東風,27,南港區
1,2023-07-25 21:00:00,07,32,30,82,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度82%。,6,偏東風,26,南港區
2,2023-07-26 00:00:00,08,30,29,79,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。舒適。偏東風 平均風速2-3級(每秒5公尺)。相對濕度79%。,5,偏東風,25,南港區
3,2023-07-26 03:00:00,08,30,28,79,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速2-3級(每秒5公尺)。相對濕度79%。,5,偏東風,24,南港區
4,2023-07-26 06:00:00,08,29,27,81,26,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度81%。,7,偏東風,24,南港區
5,2023-07-26 09:00:00,08,31,30,78,28,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度78%。,8,偏東風,25,南港區
6,2023-07-26 12:00:00,08,33,31,77,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度77%。,8,偏東風,27,南港區
7,2023-07-26 15:00:00,08,32,31,80,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度80%。,7,偏東風,27,南港區
8,2023-07-26 18:00:00,08,31,30,89,29,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度89%。,8,偏東風,27,南港區
9,2023-07-26 21:00:00,08,29,29,85,27,短暫陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度85%。,9,偏東風,26,南港區
10,2023-07-27 00:00:00,08,28,28,84,27,短暫陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度84%。,9,東南風,25,南港區
