,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,32,81,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度81%。,6,偏東風,28,大同區
1,2023-07-25 21:00:00,07,33,31,74,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度74%。,7,偏東風,26,大同區
2,2023-07-26 00:00:00,07,31,30,70,27,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度70%。,6,偏東風,24,大同區
3,2023-07-26 03:00:00,07,30,29,65,26,陰。降雨機率 20%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度65%。,6,偏東風,22,大同區
4,2023-07-26 06:00:00,08,29,29,66,26,短暫陣雨。降雨機率 80%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度66%。,7,偏東風,22,大同區
5,2023-07-26 09:00:00,08,31,30,73,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度73%。,8,偏東風,25,大同區
6,2023-07-26 12:00:00,08,32,32,72,29,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度72%。,9,偏東風,26,大同區
7,2023-07-26 15:00:00,08,32,31,75,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度75%。,8,偏東風,26,大同區
8,2023-07-26 18:00:00,08,32,30,82,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度82%。,8,偏東風,27,大同區
9,2023-07-26 21:00:00,08,30,30,77,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度77%。,9,偏東風,25,大同區
10,2023-07-27 00:00:00,08,28,29,73,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度73%。,9,偏東風,24,大同區
11,2023-07-27 03:00:00,08,28,29,74,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度74%。,9,偏東風,24,大同區
12,2023-07-27 06:00:00,08,28,29,76,27,短暫陣雨。降雨機率 70%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度76%。,10,偏東風,24,大同區
13,2023-07-27 09:00:00,08,30,31,69,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度69%。,10,偏東風,25,大同區
14,2023-07-27 12:00:00,08,32,33,64,29,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度64%。,9,偏東風,25,大同區
15,2023-07-27 15:00:00,08,32,32,66,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度66%。,9,偏東風,25,大同區
16,2023-07-27 18:00:00,08,31,31,73,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度73%。,9,偏東風,25,大同區
17,2023-07-27 21:00:00,08,29,30,65,27,短暫陣雨。降雨機率 70%。溫度攝氏30度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度65%。,9,偏東風,23,大同區
18,2023-07-28 00:00:00,08,27,29,51,25,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度51%。,10,偏東風,18,大同區
19,2023-07-28 03:00:00,04,25,29,42,24,多雲。降雨機率 50%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒8公尺)。相對濕度42%。,8,東南風,14,大同區
20,2023-07-28 06:00:00,08,26,28,46,24,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。東南風 平均風速2-3級(每秒5公尺)。相對濕度46%。,5,東南風,16,大同區
21,2023-07-28 09:00:00,08,33,31,65,27,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度65%。,5,偏南風,23,大同區
22,2023-07-28 12:00:00,08,36,33,69,29,短暫陣雨。降雨機率 50%。溫度攝氏33度。悶熱。東南風 平均風速2-3級(每秒4公尺)。相對濕度69%。,4,東南風,26,大同區
23,2023-07-28 15:00:00,08,35,32,66,29,短暫陣雨。降雨機率 50%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,東南風,25,大同區
24,2023-07-28 18:00:00,08,35,31,75,28,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度75%。,4,偏東風,26,大同區
25,2023-07-28 21:00:00,04,33,29,77,27,多雲。降雨機率 30%。溫度攝氏29度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,偏東風,25,大同區
26,2023-07-29 00:00:00,04,33,29,80,27,多雲。降雨機率 0%。溫度攝氏29度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,偏東風,25,大同區
27,2023-07-29 03:00:00,04,33,28,79,26,多雲。降雨機率 0%。溫度攝氏28度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,1,偏東風,24,大同區
28,2023-07-29 06:00:00,04,31,28,72,26,多雲。降雨機率 50%。溫度攝氏28度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度72%。,2,偏東風,22,大同區
29,2023-07-29 09:00:00,08,36,31,67,28,短暫陣雨。降雨機率 50%。溫度攝氏31度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏南風,24,大同區
30,2023-07-29 12:00:00,15,39,34,63,30,午後短暫雷陣雨。降雨機率 90%。溫度攝氏34度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度63%。,2,西南風,26,大同區
31,2023-07-29 15:00:00,15,38,34,65,30,午後短暫雷陣雨。降雨機率 90%。溫度攝氏34度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度65%。,2,偏南風,26,大同區
