,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,32,86,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度86%。,6,偏東風,29,大安區
1,2023-07-25 21:00:00,07,32,30,77,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度77%。,7,偏東風,25,大安區
2,2023-07-26 00:00:00,08,29,29,72,26,短暫陣雨。降雨機率 70%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度72%。,6,偏東風,23,大安區
3,2023-07-26 03:00:00,08,28,28,70,25,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度70%。,6,偏東風,22,大安區
4,2023-07-26 06:00:00,08,27,27,71,25,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度71%。,7,偏東風,21,大安區
5,2023-07-26 09:00:00,08,30,29,74,27,短暫陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度74%。,8,偏東風,24,大安區
6,2023-07-26 12:00:00,08,32,31,71,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度71%。,8,偏東風,26,大安區
7,2023-07-26 15:00:00,08,31,31,75,28,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度75%。,7,偏東風,26,大安區
8,2023-07-26 18:00:00,08,31,29,86,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度86%。,8,偏東風,27,大安區
9,2023-07-26 21:00:00,08,29,29,81,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度81%。,9,偏東風,25,大安區
10,2023-07-27 00:00:00,08,27,28,76,26,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度76%。,9,偏東風,23,大安區
11,2023-07-27 03:00:00,08,26,27,76,25,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度76%。,9,偏東風,23,大安區
12,2023-07-27 06:00:00,08,26,27,78,25,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度78%。,9,偏東風,23,大安區
13,2023-07-27 09:00:00,08,30,30,72,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度72%。,10,偏東風,25,大安區
14,2023-07-27 12:00:00,08,33,33,67,29,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度67%。,9,偏東風,26,大安區
15,2023-07-27 15:00:00,08,32,32,66,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度66%。,9,偏東風,25,大安區
16,2023-07-27 18:00:00,08,30,30,74,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度74%。,10,偏東風,25,大安區
17,2023-07-27 21:00:00,08,27,29,66,26,短暫陣雨。降雨機率 70%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度66%。,9,偏東風,22,大安區
18,2023-07-28 00:00:00,08,26,28,57,25,短暫陣雨。降雨機率 50%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度57%。,10,偏東風,19,大安區
19,2023-07-28 03:00:00,04,24,27,51,24,多雲。降雨機率 50%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒8公尺)。相對濕度51%。,8,東南風,16,大安區
20,2023-07-28 06:00:00,08,24,27,53,23,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。東南風 平均風速2-3級(每秒5公尺)。相對濕度53%。,5,東南風,16,大安區
21,2023-07-28 09:00:00,08,31,30,65,27,短暫陣雨。降雨機率 40%。溫度攝氏30度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度65%。,6,偏南風,23,大安區
22,2023-07-28 12:00:00,08,35,33,69,29,短暫陣雨。降雨機率 50%。溫度攝氏33度。悶熱。東南風 平均風速2-3級(每秒4公尺)。相對濕度69%。,4,東南風,26,大安區
23,2023-07-28 15:00:00,08,35,32,67,28,短暫陣雨。降雨機率 50%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度67%。,3,東南風,25,大安區
24,2023-07-28 18:00:00,08,34,30,77,28,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。東南風 平均風速2-3級(每秒4公尺)。相對濕度77%。,4,東南風,25,大安區
25,2023-07-28 21:00:00,04,31,28,80,27,多雲。降雨機率 30%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,東南風,24,大安區
26,2023-07-29 00:00:00,04,31,27,84,26,多雲。降雨機率 0%。溫度攝氏27度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,偏東風,24,大安區
27,2023-07-29 03:00:00,04,30,26,82,25,多雲。降雨機率 0%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,偏東風,23,大安區
28,2023-07-29 06:00:00,04,29,26,74,24,多雲。降雨機率 50%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度74%。,1,偏東風,21,大安區
29,2023-07-29 09:00:00,08,35,30,67,27,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏南風,23,大安區
30,2023-07-29 12:00:00,15,40,34,62,30,午後短暫雷陣雨。降雨機率 90%。溫度攝氏34度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度62%。,2,西南風,26,大安區
31,2023-07-29 15:00:00,15,38,33,64,29,午後短暫雷陣雨。降雨機率 90%。溫度攝氏33度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度64%。,2,偏南風,26,大安區
