,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,33,31,87,29,陰。降雨機率 60%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度87%。,6,偏東風,28,文山區
1,2023-07-25 21:00:00,08,31,29,84,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。東南風 平均風速3-4級(每秒7公尺)。相對濕度84%。,7,東南風,26,文山區
2,2023-07-26 00:00:00,08,28,27,81,26,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度81%。,6,偏東風,24,文山區
3,2023-07-26 03:00:00,08,27,27,82,25,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度82%。,6,偏東風,23,文山區
4,2023-07-26 06:00:00,08,27,26,82,25,短暫陣雨。降雨機率 90%。溫度攝氏26度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度82%。,6,偏東風,23,文山區
5,2023-07-26 09:00:00,08,30,29,78,27,短暫陣雨。降雨機率 90%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度78%。,7,偏東風,24,文山區
6,2023-07-26 12:00:00,08,32,30,76,28,短暫陣雨。降雨機率 100%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度76%。,8,偏東風,26,文山區
7,2023-07-26 15:00:00,08,31,30,78,28,短暫陣雨。降雨機率 100%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度78%。,7,偏東風,26,文山區
8,2023-07-26 18:00:00,08,30,29,90,28,短暫陣雨。降雨機率 100%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度90%。,8,偏東風,27,文山區
9,2023-07-26 21:00:00,08,28,27,89,27,短暫陣雨。降雨機率 100%。溫度攝氏27度。舒適。偏東風 平均風速4-5級(每秒8公尺)。相對濕度89%。,8,偏東風,26,文山區
10,2023-07-27 00:00:00,08,27,27,86,26,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒8公尺)。相對濕度86%。,8,東南風,24,文山區
11,2023-07-27 03:00:00,08,26,26,85,25,短暫陣雨。降雨機率 90%。溫度攝氏26度。舒適。偏東風 平均風速4-5級(每秒8公尺)。相對濕度85%。,8,偏東風,24,文山區
12,2023-07-27 06:00:00,08,26,26,85,25,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。偏東風 平均風速4-5級(每秒8公尺)。相對濕度85%。,8,偏東風,23,文山區
13,2023-07-27 09:00:00,08,30,29,80,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度80%。,9,偏東風,25,文山區
14,2023-07-27 12:00:00,08,32,31,72,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度72%。,10,東南風,26,文山區
15,2023-07-27 15:00:00,08,30,31,69,28,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度69%。,10,東南風,24,文山區
16,2023-07-27 18:00:00,08,28,29,78,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度78%。,>= 11,東南風,25,文山區
17,2023-07-27 21:00:00,04,25,28,71,25,多雲。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度71%。,10,東南風,22,文山區
18,2023-07-28 00:00:00,08,25,27,72,25,短暫陣雨。降雨機率 60%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度72%。,9,東南風,21,文山區
19,2023-07-28 03:00:00,04,24,26,70,24,多雲。降雨機率 60%。溫度攝氏26度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度70%。,9,東南風,20,文山區
20,2023-07-28 06:00:00,08,24,26,69,24,短暫陣雨。降雨機率 40%。溫度攝氏26度。舒適。東南風 平均風速3-4級(每秒6公尺)。相對濕度69%。,6,東南風,20,文山區
21,2023-07-28 09:00:00,08,31,29,71,27,短暫陣雨。降雨機率 40%。溫度攝氏29度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度71%。,6,偏南風,23,文山區
22,2023-07-28 12:00:00,08,34,32,74,29,短暫陣雨。降雨機率 50%。溫度攝氏32度。悶熱。東南風 平均風速2-3級(每秒5公尺)。相對濕度74%。,5,東南風,27,文山區
23,2023-07-28 15:00:00,08,34,31,70,28,短暫陣雨。降雨機率 50%。溫度攝氏31度。悶熱。東南風 平均風速2-3級(每秒4公尺)。相對濕度70%。,4,東南風,25,文山區
24,2023-07-28 18:00:00,08,32,29,80,27,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。東南風 平均風速2-3級(每秒5公尺)。相對濕度80%。,5,東南風,25,文山區
25,2023-07-28 21:00:00,04,30,27,87,26,多雲。降雨機率 30%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,東南風,25,文山區
26,2023-07-29 00:00:00,04,30,26,90,26,多雲。降雨機率 10%。溫度攝氏26度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東南風,25,文山區
27,2023-07-29 03:00:00,04,29,26,87,25,多雲。降雨機率 10%。溫度攝氏26度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,1,東南風,23,文山區
28,2023-07-29 06:00:00,04,29,25,79,24,多雲。降雨機率 40%。溫度攝氏25度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,1,東南風,21,文山區
29,2023-07-29 09:00:00,08,35,30,71,27,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,偏南風,24,文山區
30,2023-07-29 12:00:00,15,39,34,64,30,午後短暫雷陣雨。降雨機率 90%。溫度攝氏34度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度64%。,2,偏南風,26,文山區
31,2023-07-29 15:00:00,15,38,33,66,29,午後短暫雷陣雨。降雨機率 90%。溫度攝氏33度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,偏南風,26,文山區
