,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,32,80,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度80%。,5,偏東風,28,松山區
1,2023-07-25 21:00:00,07,33,30,79,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度79%。,6,偏東風,26,松山區
2,2023-07-26 00:00:00,08,31,29,76,27,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度76%。,6,偏東風,24,松山區
3,2023-07-26 03:00:00,08,30,28,74,26,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。偏東風 平均風速2-3級(每秒5公尺)。相對濕度74%。,5,偏東風,23,松山區
4,2023-07-26 06:00:00,08,30,28,76,26,短暫陣雨。降雨機率 90%。溫度攝氏28度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度76%。,7,偏東風,23,松山區
5,2023-07-26 09:00:00,08,31,30,76,28,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度76%。,8,偏東風,25,松山區
6,2023-07-26 12:00:00,08,33,32,74,29,短暫陣雨。降雨機率 90%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度74%。,8,偏東風,26,松山區
7,2023-07-26 15:00:00,08,33,31,77,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度77%。,7,偏東風,27,松山區
8,2023-07-26 18:00:00,08,32,30,86,29,短暫陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度86%。,8,偏東風,28,松山區
9,2023-07-26 21:00:00,08,30,29,83,28,短暫陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度83%。,9,偏東風,26,松山區
10,2023-07-27 00:00:00,08,28,29,81,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東南風 平均風速4-5級(每秒9公尺)。相對濕度81%。,9,東南風,25,松山區
11,2023-07-27 03:00:00,08,28,28,79,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度79%。,9,偏東風,24,松山區
12,2023-07-27 06:00:00,08,28,28,79,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度79%。,9,偏東風,24,松山區
13,2023-07-27 09:00:00,08,31,31,77,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度77%。,10,偏東風,26,松山區
14,2023-07-27 12:00:00,08,33,33,69,30,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度69%。,9,偏東風,27,松山區
15,2023-07-27 15:00:00,08,32,32,65,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度65%。,8,偏東風,25,松山區
16,2023-07-27 18:00:00,08,31,31,72,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒9公尺)。相對濕度72%。,9,東南風,25,松山區
17,2023-07-27 21:00:00,04,28,29,65,26,多雲。降雨機率 70%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度65%。,9,東南風,22,松山區
18,2023-07-28 00:00:00,08,27,29,56,25,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度56%。,9,東南風,19,松山區
19,2023-07-28 03:00:00,04,25,28,52,24,多雲。降雨機率 50%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度52%。,9,東南風,17,松山區
20,2023-07-28 06:00:00,08,25,28,54,24,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。東南風 平均風速3-4級(每秒6公尺)。相對濕度54%。,6,東南風,18,松山區
