,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,32,85,31,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度85%。,6,偏東風,29,萬華區
1,2023-07-25 21:00:00,07,33,31,76,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度76%。,7,偏東風,26,萬華區
2,2023-07-26 00:00:00,08,31,30,71,27,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度71%。,6,偏東風,24,萬華區
3,2023-07-26 03:00:00,07,30,29,69,26,陰。降雨機率 60%。溫度攝氏29度。舒適。偏東風 平均風速3-4級(每秒6公尺)。相對濕度69%。,6,偏東風,23,萬華區
4,2023-07-26 06:00:00,08,29,28,69,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速3-4級(每秒7公尺)。相對濕度69%。,7,偏東風,22,萬華區
5,2023-07-26 09:00:00,08,31,30,73,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度73%。,8,偏東風,25,萬華區
6,2023-07-26 12:00:00,08,32,32,71,29,短暫陣雨。降雨機率 90%。溫度攝氏32度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度71%。,8,偏東風,26,萬華區
7,2023-07-26 15:00:00,08,32,31,76,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度76%。,8,偏東風,26,萬華區
8,2023-07-26 18:00:00,08,32,30,85,29,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度85%。,8,偏東風,27,萬華區
9,2023-07-26 21:00:00,08,30,29,79,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度79%。,9,偏東風,25,萬華區
10,2023-07-27 00:00:00,08,28,29,75,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度75%。,9,偏東風,24,萬華區
11,2023-07-27 03:00:00,08,28,28,75,26,短暫陣雨。降雨機率 60%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度75%。,9,偏東風,24,萬華區
12,2023-07-27 06:00:00,08,28,28,78,26,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度78%。,9,偏東風,24,萬華區
13,2023-07-27 09:00:00,08,31,31,70,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度70%。,10,偏東風,25,萬華區
14,2023-07-27 12:00:00,08,33,33,66,30,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度66%。,9,偏東風,26,萬華區
15,2023-07-27 15:00:00,08,33,33,68,29,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度68%。,9,偏東風,26,萬華區
16,2023-07-27 18:00:00,08,31,31,74,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒10公尺)。相對濕度74%。,10,偏東風,26,萬華區
17,2023-07-27 21:00:00,08,28,30,66,27,短暫陣雨。降雨機率 70%。溫度攝氏30度。舒適。偏東風 平均風速4-5級(每秒9公尺)。相對濕度66%。,9,偏東風,23,萬華區
18,2023-07-28 00:00:00,08,27,29,57,25,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度57%。,10,偏東風,20,萬華區
