,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,71,26,6,35,10,30,28,6,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速4級(每秒6公尺)。相對濕度71%。,29,32,偏東風,24,中山區
1,2023-07-26 06:00:00,30,74,26,8,32,11,29,28,0,陰短暫陣雨。降雨機率 90%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速5級(每秒8公尺)。相對濕度74%。,29,32,偏東風,25,中山區
2,2023-07-26 18:00:00,29,77,26,9,32,11,29,28,7,陰短暫陣雨。降雨機率 80%。溫度攝氏28至30度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度77%。,28,30,偏東風,25,中山區
3,2023-07-27 06:00:00,31,69,26,10,33,10,29,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度69%。,28,33,偏東風,25,中山區
4,2023-07-27 18:00:00,29,54,24,10,31,08,28,28,7,多雲短暫陣雨。降雨機率 70%。溫度攝氏28至31度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度54%。,24,31,偏東風,19,中山區
5,2023-07-28 06:00:00,31,65,24,6,36,08,30,28,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏28至33度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度65%。,25,33,東南風,24,中山區
6,2023-07-28 18:00:00,29,78,25,4,35,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至31度。舒適至悶熱。偏東風 風速3級(每秒4公尺)。相對濕度78%。,31,31,偏東風,24,中山區
7,2023-07-29 06:00:00,32,66,25,2,40,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至35度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度66%。,31,35,偏南風,25,中山區
8,2023-07-29 18:00:00,29,77,25,2,37,08,29,27,7,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度77%。,31,32,偏東風,25,中山區
9,2023-07-30 06:00:00,32,79,25,2,42,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度79%。,31,34,東北風,28,中山區
10,2023-07-30 18:00:00,30,81,26,2,38,08,30,28,8,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度81%。,32,32,偏東風,26,中山區
11,2023-07-31 06:00:00,32,70,26,2,40,22,30,28,0,多雲午後短暫雷陣雨。溫度攝氏28至34度。舒適至悶熱。西南風 風速2級(每秒2公尺)。相對濕度70%。,32,34,西南風,26,中山區
12,2023-07-31 18:00:00,29,86,26,2,37,05,29,27,7,多雲時陰。溫度攝氏27至31度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度86%。,32,31,偏西風,26,中山區
13,2023-08-01 06:00:00,32,77,26,2,41,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度77%。,32,34,偏西風,27,中山區
14,2023-08-01 18:00:00,29,78,26,2,36,04,29,28,,多雲。溫度攝氏28至31度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度78%。,32,31,偏西風,25,中山區
