,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,75,26,7,34,10,30,28,6,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速4級(每秒7公尺)。相對濕度75%。,29,32,偏東風,24,信義區
1,2023-07-26 06:00:00,30,75,26,8,32,11,29,28,0,陰短暫陣雨。降雨機率 90%。溫度攝氏28至31度。舒適至悶熱。偏東風 風速5級(每秒8公尺)。相對濕度75%。,29,31,偏東風,25,信義區
2,2023-07-26 18:00:00,29,80,26,9,32,11,29,28,7,陰短暫陣雨。降雨機率 90%。溫度攝氏28至30度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度80%。,27,30,偏東風,25,信義區
3,2023-07-27 06:00:00,31,71,26,10,33,10,29,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度71%。,27,33,偏東風,25,信義區
4,2023-07-27 18:00:00,29,60,24,10,31,08,28,28,7,多雲短暫陣雨。降雨機率 70%。溫度攝氏28至31度。舒適至悶熱。東南風 風速5級(每秒10公尺)。相對濕度60%。,24,31,東南風,20,信義區
5,2023-07-28 06:00:00,31,66,24,6,35,08,29,28,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏28至33度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度66%。,25,33,東南風,24,信義區
6,2023-07-28 18:00:00,28,80,25,4,34,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。東南風 風速3級(每秒4公尺)。相對濕度80%。,31,30,東南風,24,信義區
7,2023-07-29 06:00:00,32,66,25,2,40,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至35度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度66%。,31,35,偏南風,25,信義區
8,2023-07-29 18:00:00,29,79,25,1,36,08,29,27,7,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度79%。,31,31,東南風,25,信義區
9,2023-07-30 06:00:00,32,79,25,1,42,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏西風 風速<= 1級(每秒1公尺)。相對濕度79%。,31,34,偏西風,28,信義區
10,2023-07-30 18:00:00,29,83,26,1,38,08,30,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度83%。,32,31,東南風,26,信義區
11,2023-07-31 06:00:00,32,71,26,2,40,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度71%。,32,34,偏東風,26,信義區
12,2023-07-31 18:00:00,29,87,26,1,37,05,29,27,7,多雲時陰。溫度攝氏27至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度87%。,32,31,偏西風,26,信義區
13,2023-08-01 06:00:00,32,77,26,2,41,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏西風 風速<= 1級(每秒2公尺)。相對濕度77%。,32,34,偏西風,27,信義區
14,2023-08-01 18:00:00,29,81,26,1,36,04,29,27,,多雲。溫度攝氏27至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度81%。,32,31,偏西風,25,信義區
