,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,72,25,6,33,10,29,28,6,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏28至31度。舒適至悶熱。偏東風 風速4級(每秒6公尺)。相對濕度72%。,28,31,偏東風,23,北投區
1,2023-07-26 06:00:00,30,75,25,9,32,11,29,28,0,陰短暫陣雨。降雨機率 90%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度75%。,29,32,偏東風,25,北投區
2,2023-07-26 18:00:00,29,78,26,10,30,11,28,28,6,陰短暫陣雨。降雨機率 70%。溫度攝氏28至30度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度78%。,26,30,偏東風,24,北投區
3,2023-07-27 06:00:00,31,70,26,>= 11,33,10,29,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至悶熱。偏東風 風速>= 6級(每秒11公尺)。相對濕度70%。,26,33,偏東風,25,北投區
4,2023-07-27 18:00:00,29,49,23,10,31,10,28,28,7,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至31度。舒適至悶熱。東南風 風速5級(每秒10公尺)。相對濕度49%。,23,31,東南風,16,北投區
5,2023-07-28 06:00:00,31,65,23,5,35,08,29,28,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏28至32度。舒適至悶熱。東南風 風速3級(每秒5公尺)。相對濕度65%。,24,32,東南風,23,北投區
6,2023-07-28 18:00:00,28,77,25,4,34,08,27,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。偏東風 風速3級(每秒4公尺)。相對濕度77%。,31,30,偏東風,24,北投區
7,2023-07-29 06:00:00,32,69,25,3,39,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度69%。,31,34,偏南風,25,北投區
8,2023-07-29 18:00:00,29,78,25,1,36,08,28,27,7,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度78%。,31,31,東南風,24,北投區
9,2023-07-30 06:00:00,32,80,25,3,41,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。東北風 風速2級(每秒3公尺)。相對濕度80%。,31,34,東北風,28,北投區
10,2023-07-30 18:00:00,29,79,26,2,37,08,30,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度79%。,31,31,偏東風,25,北投區
11,2023-07-31 06:00:00,32,70,26,3,39,22,30,28,0,多雲午後短暫雷陣雨。溫度攝氏28至34度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度70%。,32,34,西南風,25,北投區
12,2023-07-31 18:00:00,28,82,26,2,35,05,28,27,7,多雲時陰。溫度攝氏27至31度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度82%。,31,31,西北風,25,北投區
13,2023-08-01 06:00:00,31,80,26,3,40,22,31,27,0,多雲午後短暫雷陣雨。溫度攝氏27至33度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度80%。,31,33,西北風,27,北投區
14,2023-08-01 18:00:00,28,79,26,2,35,04,28,27,,多雲。溫度攝氏27至30度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度79%。,31,30,偏西風,24,北投區
