,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,80,26,6,34,10,29,27,6,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至31度。舒適至悶熱。偏東風 風速4級(每秒6公尺)。相對濕度80%。,29,31,偏東風,25,南港區
1,2023-07-26 06:00:00,30,80,26,8,33,11,29,27,0,陰短暫陣雨。降雨機率 90%。溫度攝氏27至31度。舒適至悶熱。偏東風 風速4級(每秒8公尺)。相對濕度80%。,29,31,偏東風,26,南港區
2,2023-07-26 18:00:00,28,84,26,9,31,11,29,28,7,陰短暫陣雨。降雨機率 90%。溫度攝氏28至30度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度84%。,27,30,偏東風,25,南港區
3,2023-07-27 06:00:00,30,75,26,9,32,10,29,28,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度75%。,27,32,偏東風,25,南港區
4,2023-07-27 18:00:00,28,63,24,10,30,08,28,27,7,多雲短暫陣雨。降雨機率 70%。溫度攝氏27至30度。舒適至悶熱。東南風 風速5級(每秒10公尺)。相對濕度63%。,24,30,東南風,21,南港區
5,2023-07-28 06:00:00,31,71,24,6,35,08,30,27,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏27至32度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度71%。,24,32,東南風,25,南港區
6,2023-07-28 18:00:00,28,82,25,4,33,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。東南風 風速3級(每秒4公尺)。相對濕度82%。,31,30,東南風,25,南港區
7,2023-07-29 06:00:00,32,70,25,3,40,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度70%。,31,34,東南風,25,南港區
8,2023-07-29 18:00:00,29,83,25,1,36,08,29,27,7,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度83%。,31,31,東南風,25,南港區
9,2023-07-30 06:00:00,32,82,25,2,42,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度82%。,31,34,偏西風,28,南港區
10,2023-07-30 18:00:00,29,86,26,1,37,02,30,27,8,晴時多雲。溫度攝氏27至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度86%。,32,31,偏東風,26,南港區
11,2023-07-31 06:00:00,32,78,26,3,40,22,31,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏西風 風速2級(每秒3公尺)。相對濕度78%。,32,34,偏西風,27,南港區
12,2023-07-31 18:00:00,28,92,26,1,36,05,29,27,7,多雲時陰。溫度攝氏27至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度92%。,32,31,偏西風,27,南港區
13,2023-08-01 06:00:00,32,82,26,3,41,22,32,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏西風 風速2級(每秒3公尺)。相對濕度82%。,32,34,偏西風,28,南港區
14,2023-08-01 18:00:00,29,85,26,1,36,04,29,27,,多雲。溫度攝氏27至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度85%。,32,31,偏西風,26,南港區
