,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,70,25,6,35,10,30,28,6,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速4級(每秒6公尺)。相對濕度70%。,29,32,偏東風,24,士林區
1,2023-07-26 06:00:00,31,74,26,8,33,11,29,28,0,陰短暫陣雨。降雨機率 90%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速5級(每秒8公尺)。相對濕度74%。,29,32,偏東風,26,士林區
2,2023-07-26 18:00:00,29,76,26,9,32,11,29,28,7,陰短暫陣雨。降雨機率 80%。溫度攝氏28至31度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度76%。,27,31,偏東風,25,士林區
3,2023-07-27 06:00:00,32,68,26,10,34,10,30,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度68%。,28,33,偏東風,25,士林區
4,2023-07-27 18:00:00,29,51,23,10,32,09,28,28,7,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏28至31度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度51%。,24,31,偏東風,18,士林區
5,2023-07-28 06:00:00,32,64,24,6,36,08,30,28,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏28至33度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度64%。,25,33,東南風,24,士林區
6,2023-07-28 18:00:00,29,77,25,4,35,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至31度。舒適至悶熱。偏東風 風速3級(每秒4公尺)。相對濕度77%。,31,31,偏東風,24,士林區
7,2023-07-29 06:00:00,33,66,25,3,40,22,31,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。舒適至易中暑。偏南風 風速2級(每秒3公尺)。相對濕度66%。,31,35,偏南風,25,士林區
8,2023-07-29 18:00:00,29,77,26,2,37,08,29,28,7,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度77%。,32,32,偏東風,25,士林區
9,2023-07-30 06:00:00,32,79,26,2,42,22,32,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。舒適至易中暑。東北風 風速2級(每秒2公尺)。相對濕度79%。,32,35,東北風,28,士林區
10,2023-07-30 18:00:00,30,80,26,2,38,08,30,28,8,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度80%。,32,32,偏東風,26,士林區
11,2023-07-31 06:00:00,33,69,26,3,40,22,31,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。舒適至易中暑。西南風 風速2級(每秒3公尺)。相對濕度69%。,32,35,西南風,26,士林區
12,2023-07-31 18:00:00,29,86,26,2,37,05,29,28,7,多雲時陰。溫度攝氏28至32度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度86%。,32,32,東北風,27,士林區
13,2023-08-01 06:00:00,32,79,26,3,41,22,32,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。舒適至易中暑。偏西風 風速2級(每秒3公尺)。相對濕度79%。,32,35,偏西風,28,士林區
14,2023-08-01 18:00:00,29,78,26,2,36,04,29,28,,多雲。溫度攝氏28至31度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度78%。,32,31,偏西風,25,士林區
