,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,74,25,7,34,10,30,27,6,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至32度。舒適至悶熱。偏東風 風速4級(每秒7公尺)。相對濕度74%。,27,32,偏東風,24,大安區
1,2023-07-26 06:00:00,30,75,25,8,32,11,29,27,0,陰短暫陣雨。降雨機率 90%。溫度攝氏27至31度。舒適至悶熱。偏東風 風速5級(每秒8公尺)。相對濕度75%。,27,31,偏東風,25,大安區
2,2023-07-26 18:00:00,28,79,25,9,31,11,28,27,7,陰短暫陣雨。降雨機率 80%。溫度攝氏27至29度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度79%。,26,29,偏東風,24,大安區
3,2023-07-27 06:00:00,31,71,25,10,33,10,29,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至33度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度71%。,26,33,偏東風,25,大安區
4,2023-07-27 18:00:00,28,59,23,10,30,08,28,27,7,多雲短暫陣雨。降雨機率 70%。溫度攝氏27至30度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度59%。,23,30,偏東風,19,大安區
5,2023-07-28 06:00:00,30,66,23,6,35,08,29,27,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏27至33度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度66%。,24,33,東南風,23,大安區
6,2023-07-28 18:00:00,27,80,24,4,34,08,28,26,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏26至30度。舒適至悶熱。東南風 風速3級(每秒4公尺)。相對濕度80%。,29,30,東南風,24,大安區
7,2023-07-29 06:00:00,31,67,24,2,40,22,30,26,0,多雲午後短暫雷陣雨。溫度攝氏26至35度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度67%。,29,35,偏南風,24,大安區
8,2023-07-29 18:00:00,28,78,24,2,36,08,28,26,7,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度78%。,29,31,偏東風,24,大安區
9,2023-07-30 06:00:00,31,79,24,2,42,22,32,26,0,多雲午後短暫雷陣雨。溫度攝氏26至34度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度79%。,29,34,東北風,27,大安區
10,2023-07-30 18:00:00,28,83,25,2,37,08,30,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度83%。,30,31,偏東風,25,大安區
11,2023-07-31 06:00:00,32,71,25,2,40,22,31,27,0,多雲午後短暫雷陣雨。溫度攝氏27至34度。舒適至易中暑。偏東風 風速2級(每秒2公尺)。相對濕度71%。,30,34,偏東風,26,大安區
12,2023-07-31 18:00:00,28,86,25,2,36,05,29,26,7,多雲時陰。溫度攝氏26至31度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度86%。,30,31,偏西風,25,大安區
13,2023-08-01 06:00:00,31,75,25,2,41,22,31,26,0,多雲午後短暫雷陣雨。溫度攝氏26至34度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度75%。,30,34,偏西風,26,大安區
14,2023-08-01 18:00:00,28,81,25,2,35,04,28,26,,多雲。溫度攝氏26至30度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度81%。,30,30,偏西風,24,大安區
