,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,83,25,7,33,11,29,26,6,陰短暫陣雨。降雨機率 90%。溫度攝氏26至31度。舒適至悶熱。偏東風 風速4級(每秒7公尺)。相對濕度83%。,27,31,偏東風,25,文山區
1,2023-07-26 06:00:00,29,80,25,8,32,11,28,26,0,陰短暫陣雨。降雨機率 100%。溫度攝氏26至31度。舒適至悶熱。偏東風 風速4級(每秒8公尺)。相對濕度80%。,27,31,偏東風,25,文山區
2,2023-07-26 18:00:00,27,87,25,8,30,11,28,26,7,陰短暫陣雨。降雨機率 100%。溫度攝氏26至29度。舒適至悶熱。偏東風 風速5級(每秒8公尺)。相對濕度87%。,26,29,偏東風,25,文山區
3,2023-07-27 06:00:00,30,76,25,10,32,10,29,26,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏26至32度。舒適至悶熱。偏東風 風速5級(每秒10公尺)。相對濕度76%。,26,32,偏東風,25,文山區
4,2023-07-27 18:00:00,27,72,24,>= 11,28,08,27,26,8,多雲短暫陣雨。降雨機率 80%。溫度攝氏26至29度。舒適至悶熱。東南風 風速>= 6級(每秒11公尺)。相對濕度72%。,24,29,東南風,21,文山區
5,2023-07-28 06:00:00,30,72,24,6,34,08,29,26,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏26至32度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度72%。,24,32,東南風,24,文山區
6,2023-07-28 18:00:00,27,86,24,5,32,08,27,25,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏25至29度。舒適至悶熱。東南風 風速3級(每秒5公尺)。相對濕度86%。,29,29,東南風,24,文山區
7,2023-07-29 06:00:00,31,70,24,2,39,22,30,25,0,多雲午後短暫雷陣雨。溫度攝氏25至34度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度70%。,29,34,偏南風,25,文山區
8,2023-07-29 18:00:00,27,85,24,1,35,08,28,26,7,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度85%。,29,30,東南風,25,文山區
9,2023-07-30 06:00:00,31,83,24,2,41,22,32,26,0,多雲午後短暫雷陣雨。溫度攝氏26至34度。舒適至易中暑。偏西風 風速<= 1級(每秒2公尺)。相對濕度83%。,29,34,偏西風,27,文山區
10,2023-07-30 18:00:00,27,88,24,2,36,02,29,26,9,晴時多雲。溫度攝氏26至30度。舒適至悶熱。東南風 風速<= 1級(每秒2公尺)。相對濕度88%。,30,30,東南風,25,文山區
11,2023-07-31 06:00:00,31,78,24,2,40,22,31,26,0,多雲午後短暫雷陣雨。溫度攝氏26至34度。舒適至易中暑。偏東風 風速2級(每秒2公尺)。相對濕度78%。,30,34,偏東風,26,文山區
12,2023-07-31 18:00:00,27,91,24,2,35,05,29,25,8,多雲時陰。溫度攝氏25至30度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度91%。,30,30,偏西風,25,文山區
13,2023-08-01 06:00:00,31,80,24,2,41,22,31,25,0,多雲午後短暫雷陣雨。溫度攝氏25至34度。舒適至易中暑。偏西風 風速<= 1級(每秒2公尺)。相對濕度80%。,30,34,偏西風,27,文山區
14,2023-08-01 18:00:00,27,86,24,1,35,04,28,26,,多雲。溫度攝氏26至30度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度86%。,29,30,偏西風,25,文山區
