,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,77,26,6,34,10,30,28,6,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速4級(每秒6公尺)。相對濕度77%。,29,32,偏東風,25,松山區
1,2023-07-26 06:00:00,30,77,26,8,33,11,29,28,0,陰短暫陣雨。降雨機率 90%。溫度攝氏28至32度。舒適至悶熱。偏東風 風速4級(每秒8公尺)。相對濕度77%。,30,32,偏東風,26,松山區
2,2023-07-26 18:00:00,29,81,26,9,32,11,29,28,7,陰短暫陣雨。降雨機率 90%。溫度攝氏28至30度。舒適至悶熱。偏東風 風速5級(每秒9公尺)。相對濕度81%。,28,30,偏東風,25,松山區
3,2023-07-27 06:00:00,31,72,27,10,33,10,30,28,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏28至33度。悶熱。偏東風 風速5級(每秒10公尺)。相對濕度72%。,28,33,偏東風,26,松山區
4,2023-07-27 18:00:00,29,59,24,9,31,08,28,28,7,多雲短暫陣雨。降雨機率 70%。溫度攝氏28至31度。舒適至悶熱。東南風 風速5級(每秒9公尺)。相對濕度59%。,25,31,東南風,20,松山區
5,2023-07-28 06:00:00,31,68,24,6,36,08,30,28,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏28至33度。舒適至悶熱。東南風 風速4級(每秒6公尺)。相對濕度68%。,25,33,東南風,24,松山區
6,2023-07-28 18:00:00,29,80,26,4,34,08,28,27,8,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。東南風 風速3級(每秒4公尺)。相對濕度80%。,31,30,東南風,25,松山區
7,2023-07-29 06:00:00,32,67,26,3,40,22,30,27,0,多雲午後短暫雷陣雨。溫度攝氏27至35度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度67%。,31,35,東南風,25,松山區
8,2023-07-29 18:00:00,29,80,26,1,36,08,29,28,7,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度80%。,32,32,東南風,25,松山區
9,2023-07-30 06:00:00,32,81,26,2,42,22,33,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度81%。,32,35,偏西風,28,松山區
10,2023-07-30 18:00:00,29,84,26,2,38,08,30,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度84%。,32,31,偏東風,26,松山區
11,2023-07-31 06:00:00,32,74,26,3,40,22,31,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。舒適至易中暑。偏西風 風速2級(每秒3公尺)。相對濕度74%。,32,35,偏西風,27,松山區
12,2023-07-31 18:00:00,29,90,27,2,37,05,30,28,7,多雲時陰。溫度攝氏28至31度。悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度90%。,32,31,偏西風,27,松山區
13,2023-08-01 06:00:00,32,80,27,2,42,22,32,28,0,多雲午後短暫雷陣雨。溫度攝氏28至35度。悶熱至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度80%。,32,35,偏西風,28,松山區
14,2023-08-01 18:00:00,29,82,26,2,36,04,29,28,,多雲。溫度攝氏28至31度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度82%。,32,31,偏西風,26,松山區
